ind;firmeza
0193palmer_sem2_num37;129.65
0195palmer_sem2_num38;93.55
0197palmer_sem2_num39;102.15
0199palmer_sem2_num40;99.3
0201palmer_sem2_num41;124.3
0203palmer_sem2_num42;128.4
0205palmer_sem2_num43;114.85
0207palmer_sem2_num44;119.5
0209palmer_sem2_num45;123.4
0211palmer_sem2_num46;103.9
0213palmer_sem2_num47;123.75
0215palmer_sem2_num48;123.05
0217palmer_sem2_num49;135.05
0219palmer_sem2_num50;159.1
0221palmer_sem2_num51;133.85
0223palmer_sem2_num52;119.4
0225palmer_sem2_num53;138.25
0227palmer_sem2_num54;135.4
0229palmer_sem2_num55;129.85
0231palmer_sem2_num56;132.85
0233palmer_sem2_num57;117.6
0235palmer_sem2_num58;104.95
0237palmer_sem2_num59;107.8
0239palmer_sem2_num60;105.65
0241palmer_sem3_num1;141.15
0243palmer_sem3_num2;124.65
0245palmer_sem3_num3;122.6
0247palmer_sem3_num4;140.8
0249palmer_sem3_num5;135.45
0251palmer_sem3_num6;108.3
0253palmer_sem3_num7;121.75
0255palmer_sem3_num8;112
0257palmer_sem3_num9;150.5
0259palmer_sem3_num10;124.95
0261palmer_sem3_num11;142.9
0263palmer_sem3_num12;149.45
0265palmer_sem3_num13;127.9
0267palmer_sem3_num14;136.5
0269palmer_sem3_num15;115
0271palmer_sem3_num16;113.3
0273palmer_sem3_num17;135.2
0275palmer_sem3_num18;105.4
0277palmer_sem3_num19;131.05
0279palmer_sem3_num20;133.2
0281palmer_sem3_num21;100.85
0283palmer_sem3_num22;136.35
0285palmer_sem3_num23;124.9
0287palmer_sem3_num24;110.7
0289palmer_sem3_num25;127.85
0291palmer_sem3_num26;115.15
0293palmer_sem3_num27;109.3
0295palmer_sem3_num28;125.45
0297palmer_sem3_num29;114.15
0299palmer_sem3_num30;107.95
0301palmer_sem3_num31;135.15
0303palmer_sem3_num32;124.6
0305palmer_sem3_num33;138.6
0307palmer_sem3_num34;130.5
0309palmer_sem3_num35;124.1
0311palmer_sem3_num36;121.2
0313palmer_sem3_num37;125.2
0315palmer_sem3_num38;129.35
0317palmer_sem3_num39;113.6
0319palmer_sem3_num40;129.75
0321palmer_sem3_num41;127
0323palmer_sem3_num42;125.85
0325palmer_sem3_num43;143.4
0327palmer_sem3_num44;127.05
0329palmer_sem3_num45;119.55
0331palmer_sem3_num46;119.45
0333palmer_sem3_num47;120.8
0335palmer_sem3_num48;146.55
0337palmer_sem3_num49;109.8
0339palmer_sem3_num50;116.95
0341palmer_sem3_num51;112
0343palmer_sem3_num52;120.2
0345palmer_sem3_num53;115.05
0347palmer_sem3_num54;108.9
0349palmer_sem3_num55;105.75
0351palmer_sem3_num56;118.45
0353palmer_sem3_num57;110.2
0355palmer_sem3_num58;110.15
0357palmer_sem3_num59;126.6
0359palmer_sem3_num60;129.75
0361palmer_sem4_num1;133.05
0363palmer_sem4_num2;116.45
0365palmer_sem4_num3;92.7
0367palmer_sem4_num4;105.75
0369palmer_sem4_num5;125.05
0371palmer_sem4_num6;85.6
0373palmer_sem4_num7;126
0375palmer_sem4_num8;144.7
0377palmer_sem4_num9;114.4
0379palmer_sem4_num10;139.85
0381palmer_sem4_num11;140.2
0383palmer_sem4_num12;131.55
0385palmer_sem4_num13;141.5
0387palmer_sem4_num14;137.45
0389palmer_sem4_num15;127.6
0391palmer_sem4_num16;130.6
0393palmer_sem4_num17;111.65
0395palmer_sem4_num18;131.95
0397palmer_sem4_num19;135.6
0399palmer_sem4_num20;151.85
0401palmer_sem4_num21;148.85
0403palmer_sem4_num22;111.2
0405palmer_sem4_num23;122.35
0407palmer_sem4_num24;116.5
0409palmer_sem4_num25;99.4
0411palmer_sem4_num26;118.5
0413palmer_sem4_num27;131.3
0415palmer_sem4_num28;103.5
0417palmer_sem4_num29;108.15
0419palmer_sem4_num30;130.15
0421palmer_sem4_num31;145.7
0423palmer_sem4_num32;121.7
0425palmer_sem4_num33;138.55
0427palmer_sem4_num34;98.25
0429palmer_sem4_num35;134.95
0431palmer_sem4_num36;109.65
0433palmer_sem4_num37;113.95
0435palmer_sem4_num38;154.55
0437palmer_sem4_num39;108.8
0439palmer_sem4_num40;123.75
0441palmer_sem4_num41;122.55
0443palmer_sem4_num42;131.05
0445palmer_sem4_num43;146.05
0447palmer_sem4_num44;161.15
0449palmer_sem4_num45;164.9
0451palmer_sem4_num46;162.65
0453palmer_sem4_num47;118.15
0455palmer_sem4_num48;142.6
0457palmer_sem4_num49;139.25
0459palmer_sem4_num50;140.3
0461palmer_sem4_num51;102.65
0463palmer_sem4_num52;114.95
0465palmer_sem4_num53;128.65
0467palmer_sem4_num54;116
0469palmer_sem4_num55;131.1
0471palmer_sem4_num56;117.35
0473palmer_sem4_num57;124.15
0475palmer_sem4_num58;120.55
0477palmer_sem4_num59;122.95
0479palmer_sem4_num60;118.65
0481palmer_sem5_num1;154.55
0483palmer_sem5_num2;133.7
0485palmer_sem5_num3;138.35
0487palmer_sem5_num4;131.7
0489palmer_sem5_num5;146.1
0491palmer_sem5_num6;157.7
0493palmer_sem5_num7;154.2
0495palmer_sem5_num8;164.45
0497palmer_sem5_num9;160.8
0499palmer_sem5_num10;145.9
0501palmer_sem5_num11;150.65
0503palmer_sem5_num12;134.45
0505palmer_sem5_num13;141.05
0507palmer_sem5_num14;144.35
0509palmer_sem5_num15;156.7
0511palmer_sem5_num16;148.55
0513palmer_sem5_num17;140.25
0515palmer_sem5_num18;151.7
0517palmer_sem5_num19;135.65
0519palmer_sem5_num20;149.65
0521palmer_sem5_num21;145.35
0523palmer_sem5_num22;141.6
0525palmer_sem5_num23;157.7
0527palmer_sem5_num24;154.95
0529palmer_sem5_num25;135.85
0531palmer_sem5_num26;157.5
0533palmer_sem5_num27;136.2
0535palmer_sem5_num28;159.1
0537palmer_sem5_num29;125.3
0539palmer_sem5_num30;116.15
0541palmer_sem5_num31;148
0543palmer_sem5_num32;153.65
0545palmer_sem5_num33;142.2
0547palmer_sem5_num34;143.95
0549palmer_sem5_num35;125.4
0551palmer_sem5_num36;125.6
0553palmer_sem5_num37;180.35
0555palmer_sem5_num38;130.2
0557palmer_sem5_num39;128.25
0559palmer_sem5_num40;150.7
0561palmer_sem5_num41;137.2
0563palmer_sem5_num42;143.65
0565palmer_sem5_num43;137.2
0567palmer_sem5_num44;142.65
0569palmer_sem5_num45;142.9
0571palmer_sem5_num46;142.55
0573palmer_sem5_num47;160.1
0575palmer_sem5_num48;164.85
0577palmer_sem5_num49;156.25
0579palmer_sem5_num50;144.65
0581palmer_sem5_num51;152.5
0583palmer_sem5_num52;138.15
0585palmer_sem5_num53;146.9
0587palmer_sem5_num54;141.4
0589palmer_sem5_num55;132.15
0591palmer_sem5_num56;136.65
0593palmer_sem5_num57;159
0595palmer_sem5_num58;149.55
0597palmer_sem5_num59;156.5
0599palmer_sem5_num60;163.55
0601palmer_sem6_num1;129.8
0603palmer_sem6_num2;136.85
0605palmer_sem6_num3;138.5
0607palmer_sem6_num4;155
0609palmer_sem6_num5;166.1
0611palmer_sem6_num6;142.85
0613palmer_sem6_num7;134.4
0615palmer_sem6_num8;110.7
0617palmer_sem6_num9;136.4
0619palmer_sem6_num10;105.45
0621palmer_sem6_num11;115.35
0623palmer_sem6_num12;150.35
0625palmer_sem6_num13;139
0627palmer_sem6_num14;151
0629palmer_sem6_num15;156.85
0631palmer_sem6_num16;163.3
0633palmer_sem6_num17;135.85
0635palmer_sem6_num18;141.9
0637palmer_sem6_num19;181.1
0639palmer_sem6_num20;143.2
0641palmer_sem6_num21;140.75
0643palmer_sem6_num22;143.9
0645palmer_sem6_num23;162.75
0647palmer_sem6_num24;172.45
0649palmer_sem6_num25;158.25
0651palmer_sem6_num26;150.35
0653palmer_sem6_num27;164.2
0655palmer_sem6_num28;141.95
0657palmer_sem6_num29;169.3
0659palmer_sem6_num30;141.5
0661palmer_sem6_num31;176.1
0663palmer_sem6_num32;158
0665palmer_sem6_num33;155.65
0667palmer_sem6_num34;145.55
0669palmer_sem6_num35;105.45
0671palmer_sem6_num36;159.2
0673palmer_sem6_num37;104.85
0675palmer_sem6_num38;130.1
0677palmer_sem6_num39;161.3
0679palmer_sem6_num40;121.65
0681palmer_sem6_num41;124.2
0683palmer_sem6_num42;109.65
0685palmer_sem6_num43;113.85
0687palmer_sem6_num44;146.65
0689palmer_sem6_num45;158.4
0691palmer_sem6_num46;136.65
0693palmer_sem6_num47;175.1
0695palmer_sem6_num48;122.7
0697palmer_sem6_num49;170.7
0699palmer_sem6_num50;171.75
0701palmer_sem6_num51;156.15
0703palmer_sem6_num52;128.1
0705palmer_sem6_num53;148.95
0707palmer_sem6_num54;176.95
0709palmer_sem6_num55;170.15
0711palmer_sem6_num56;124.05
0713palmer_sem6_num57;149.2
0715palmer_sem6_num58;120.25
0717palmer_sem6_num59;153.75
0719palmer_sem6_num60;154.4
0721palmer_sem7_num1;151.5
0723palmer_sem7_num2;128.1
0725palmer_sem7_num3;149.7
0727palmer_sem7_num4;147.15
0729palmer_sem7_num5;154
0731palmer_sem7_num6;126.1
0733palmer_sem7_num7;142.2
0735palmer_sem7_num8;129.5
0737palmer_sem7_num9;151.95
0739palmer_sem7_num10;142.25
0741palmer_sem7_num11;160.5
0743palmer_sem7_num12;135.5
0745palmer_sem7_num13;147.2
0747palmer_sem7_num14;141.35
0749palmer_sem7_num15;138.65
0751palmer_sem7_num16;121.8
0753palmer_sem7_num17;177.15
0755palmer_sem7_num18;152.1
0757palmer_sem7_num19;160.05
0759palmer_sem7_num20;181.4
0761palmer_sem7_num21;167.3
0763palmer_sem7_num22;168.9
0765palmer_sem7_num23;156.3
0767palmer_sem7_num24;179.65
0769palmer_sem7_num25;147.45
0771palmer_sem7_num26;146
0773palmer_sem7_num27;147.8
0775palmer_sem7_num28;178.55
0777palmer_sem7_num29;146.15
0779palmer_sem7_num30;132.2
0781palmer_sem7_num31;144.7
0783palmer_sem7_num32;142.85
0785palmer_sem7_num33;120.1
0787palmer_sem7_num34;160.6
0789palmer_sem7_num35;162.95
0791palmer_sem7_num36;169.1
0793palmer_sem7_num37;145.75
0795palmer_sem7_num38;125.45
0797palmer_sem7_num39;133.3
0799palmer_sem7_num40;136.45
0801palmer_sem7_num41;152.45
0803palmer_sem7_num42;168.3
0805palmer_sem7_num43;155.65
0807palmer_sem7_num44;154
0809palmer_sem7_num45;149.85
0811palmer_sem7_num46;107.55
0813palmer_sem7_num47;145.9
0815palmer_sem7_num48;143.9
0817palmer_sem7_num49;179.35
0819palmer_sem7_num50;130.5
0821palmer_sem7_num51;144.65
0823palmer_sem7_num52;150.35
0825palmer_sem7_num53;166.65
0827palmer_sem7_num54;177.25
0829palmer_sem7_num55;154.3
0831palmer_sem7_num56;149.85
0833palmer_sem7_num57;135.55
0835palmer_sem7_num58;129.7
0837palmer_sem7_num59;151.35
0839palmer_sem7_num60;142.7
0841palmer_sem8_num1;158.3
0843palmer_sem8_num2;101.2
0845palmer_sem8_num3;117.9
0847palmer_sem8_num4;148.2
0849palmer_sem8_num5;139.9
0851palmer_sem8_num6;120.2
0853palmer_sem8_num7;143.55
0855palmer_sem8_num8;167.4
0857palmer_sem8_num9;150.3
0859palmer_sem8_num10;138.75
0861palmer_sem8_num11;98
0863palmer_sem8_num12;160.2
0865palmer_sem8_num13;165.2
0867palmer_sem8_num14;160
0869palmer_sem8_num15;144.9
0871palmer_sem8_num16;168.4
0873palmer_sem8_num17;132
0875palmer_sem8_num18;124.8
0877palmer_sem8_num19;143.45
0879palmer_sem8_num20;119.85
0881palmer_sem8_num21;144.95
0883palmer_sem8_num22;148.75
0885palmer_sem8_num23;104.65
0887palmer_sem8_num24;138.7
0889palmer_sem8_num25;146.75
0891palmer_sem8_num26;148.85
0893palmer_sem8_num27;139.1
0895palmer_sem8_num28;155.95
0897palmer_sem8_num29;128.65
0899palmer_sem8_num30;126.05
0901palmer_sem8_num31;155.1
0903palmer_sem8_num32;141.5
0905palmer_sem8_num33;154.2
0907palmer_sem8_num34;117.95
0909palmer_sem8_num35;171.7
0911palmer_sem8_num36;146.55
0913palmer_sem8_num37;172.55
0915palmer_sem8_num38;143.9
0917palmer_sem8_num39;157.75
0919palmer_sem8_num40;121.65
0921palmer_sem8_num41;145.25
0923palmer_sem8_num42;138.25
0925palmer_sem8_num43;136.25
0927palmer_sem8_num44;129.45
0929palmer_sem8_num45;145.5
0931palmer_sem8_num46;137.1
0933palmer_sem8_num47;127.15
0935palmer_sem8_num48;140.2
0937palmer_sem8_num49;157.25
0939palmer_sem8_num50;112
0941palmer_sem8_num51;104.65
0943palmer_sem8_num52;122.2
0945palmer_sem8_num53;137.85
0947palmer_sem8_num54;116.75
0949palmer_sem8_num55;138.7
0951palmer_sem8_num56;124.85
0953palmer_sem8_num57;140.35
0955palmer_sem8_num58;111.55
0957palmer_sem8_num59;140.9
0959palmer_sem8_num60;156.65
0961palmer_sem9_num1;131.75
0963palmer_sem9_num2;146.35
0965palmer_sem9_num3;125.95
0967palmer_sem9_num4;128.55
0969palmer_sem9_num5;164.95
0971palmer_sem9_num6;101.95
0973palmer_sem9_num7;150.85
0975palmer_sem9_num8;140.45
0977palmer_sem9_num9;118.9
0979palmer_sem9_num10;149.7
0981palmer_sem9_num11;156.65
0983palmer_sem9_num12;161.8
0985palmer_sem9_num13;130.65
0987palmer_sem9_num14;139.6
0989palmer_sem9_num15;146
0991palmer_sem9_num16;114.75
0993palmer_sem9_num17;159.7
0995palmer_sem9_num18;149.15
0997palmer_sem9_num19;143.05
0999palmer_sem9_num20;120.65
1001palmer_sem9_num21;149.9
1003palmer_sem9_num22;173.85
1005palmer_sem9_num23;133.25
1007palmer_sem9_num24;151.75
1009palmer_sem9_num25;153.7
1011palmer_sem9_num26;134.15
1013palmer_sem9_num27;152
1015palmer_sem9_num28;129.35
1017palmer_sem9_num29;141.2
1019palmer_sem9_num30;131.95
1021palmer_sem9_num31;128
1023palmer_sem9_num32;168.3
1025palmer_sem9_num33;130.6
1027palmer_sem9_num34;134.35
1029palmer_sem9_num35;139.45
1031palmer_sem9_num36;138.2
1033palmer_sem9_num37;132.6
1035palmer_sem9_num38;161.25
1037palmer_sem9_num39;169.4
1039palmer_sem9_num40;135.4
1041palmer_sem9_num41;126.85
1043palmer_sem9_num42;155.65
1045palmer_sem9_num43;132
1047palmer_sem9_num44;139.9
1049palmer_sem9_num45;143.35
1051palmer_sem9_num46;140.6
1053palmer_sem9_num47;157
1055palmer_sem9_num48;155.25
1057palmer_sem9_num49;152.75
1059palmer_sem9_num50;124.35
1061palmer_sem9_num51;137
1063palmer_sem9_num52;162.9
1065palmer_sem9_num53;149.2
1067palmer_sem9_num54;114.45
1069palmer_sem9_num55;121
1071palmer_sem9_num56;121.15
1073palmer_sem9_num57;120.9
1075palmer_sem9_num58;144.1
1077palmer_sem9_num59;139.65
1079palmer_sem9_num60;144.15
1081palmer_sem10_num1;142.5
1083palmer_sem10_num2;140.95
1085palmer_sem10_num3;117.3
1087palmer_sem10_num4;141.65
1089palmer_sem10_num5;121.6
1091palmer_sem10_num6;117.05
1093palmer_sem10_num7;136.8
1095palmer_sem10_num8;94.35
1097palmer_sem10_num9;137.1
1099palmer_sem10_num10;136.4
1101palmer_sem10_num11;129.5
1103palmer_sem10_num12;124.05
1105palmer_sem10_num13;120.15
1107palmer_sem10_num14;127.55
1109palmer_sem10_num15;136.3
1111palmer_sem10_num16;133.75
1113palmer_sem10_num17;148.4
1115palmer_sem10_num18;148.25
1117palmer_sem10_num19;124.4
1119palmer_sem10_num20;139.2
1121palmer_sem10_num21;116.05
1123palmer_sem10_num22;64.55
1125palmer_sem10_num23;165.95
1127palmer_sem10_num24;129.65
1129palmer_sem10_num25;134.15
1131palmer_sem10_num26;118.75
1133palmer_sem10_num27;122.3
1135palmer_sem10_num28;121.25
1137palmer_sem10_num29;130.7
1139palmer_sem10_num30;31.5
1141palmer_sem10_num31;129.25
1143palmer_sem10_num32;124.65
1145palmer_sem10_num33;153.35
1147palmer_sem10_num34;158.5
1149palmer_sem10_num35;137.9
1151palmer_sem10_num36;156.1
1153palmer_sem10_num37;130.9
1155palmer_sem10_num38;134.7
1157palmer_sem10_num39;152.85
1159palmer_sem10_num40;112.45
1161palmer_sem10_num41;130.95
1163palmer_sem10_num42;137.6
1165palmer_sem10_num43;120
1167palmer_sem10_num44;144.05
1169palmer_sem10_num45;113.75
1171palmer_sem10_num46;111.35
1173palmer_sem10_num47;137.55
1175palmer_sem10_num48;130.85
1177palmer_sem10_num49;131.95
1179palmer_sem10_num50;135.5
1181palmer_sem10_num51;121.2
1183palmer_sem10_num52;150.4
1185palmer_sem10_num53;108.85
1187palmer_sem10_num54;113.05
1189palmer_sem10_num55;123.7
1191palmer_sem10_num56;141.45
1193palmer_sem10_num57;139.95
1195palmer_sem10_num58;111.7
1197palmer_sem10_num59;135.7
1199palmer_sem10_num60;128.35
1201palmer_5ou6_DAC_num1lado1;65.15
1201palmer_sem11_num1;28.75
1202palmer_5ou6_DAC_num1lado2;24.25
1203palmer_5ou6_DAC_num2lado1;10.6
1203palmer_sem11_num2;17.6
1204palmer_5ou6_DAC_num2lado2;13
1205palmer_5ou6_DAC_num3lado1;11.9
1205palmer_sem11_num3;15.75
1206palmer_5ou6_DAC_num3lado2;60.35
1207palmer_5ou6_DAC_num4lado1;70.9
1207palmer_sem11_num4;16.35
1208palmer_5ou6_DAC_num4lado2;77.15
1209palmer_5ou6_DAC_num5lado1;23.7
1209palmer_sem11_num5;17.1
1210palmer_5ou6_DAC_num5lado2;79.75
1211palmer_5ou6_DAC_num6lado1;25.25
1211palmer_sem11_num6;24.1
1212palmer_5ou6_DAC_num6lado2;49.1
1213palmer_5ou6_DAC_num7lado1;38.8
1213palmer_sem11_num7;17.65
1214palmer_5ou6_DAC_num7lado2;64.9
1215palmer_5ou6_DAC_num8lado1;64.55
1215palmer_sem11_num8;12.4
1216palmer_5ou6_DAC_num8lado2;62.5
1217palmer_5ou6_DAC_num9lado1;80.3
1217palmer_sem11_num9;18.55
1218palmer_5ou6_DAC_num9lado2;85.45
1219palmer_5ou6_DAC_num10lado1;28.65
1219palmer_sem11_num10;11.6
1220palmer_5ou6_DAC_num10lado2;13.7
1221palmer_5ou6_DAC_num11lado1;80.25
1221palmer_sem11_num11;7.3
1222palmer_5ou6_DAC_num11lado2;66.4
1223palmer_5ou6_DAC_num12lado1;66.8
1223palmer_sem11_num12;14.8
1224palmer_5ou6_DAC_num12lado2;60.25
1225palmer_5ou6_DAC_num13lado1;73.9
1225palmer_sem11_num13;14.35
1226palmer_5ou6_DAC_num13lado2;74.6
1227palmer_5ou6_DAC_num14lado1;69.5
1227palmer_sem11_num14;12.7
1228palmer_5ou6_DAC_num14lado2;68.7
1229palmer_5ou6_DAC_num15lado1;29.35
1229palmer_sem11_num15;15.5
1230palmer_5ou6_DAC_num15lado2;65.2
1231palmer_5ou6_DAC_num16lado1;49.3
1231palmer_sem11_num16;12.7
1232palmer_5ou6_DAC_num16lado2;25.5
1233palmer_5ou6_DAC_num17lado1;25.65
1233palmer_sem11_num17;11.65
1234palmer_5ou6_DAC_num17lado2;23.95
1235palmer_5ou6_DAC_num18lado1;66.4
1235palmer_sem11_num18;5.55
1236palmer_5ou6_DAC_num18lado2;70.7
1237palmer_5ou6_DAC_num19lado1;26.55
1237palmer_sem11_num19;13.5
1238palmer_5ou6_DAC_num19lado2;41.2
1239palmer_5ou6_DAC_num20lado1;9.95
1239palmer_sem11_num20;11.4
1240palmer_5ou6_DAC_num20lado2;19.5
1241palmer_5ou6_DAC_num21lado1;38
1241palmer_sem11_num21;8.05
1242palmer_5ou6_DAC_num21lado2;56.2
1243palmer_5ou6_DAC_num22lado1;93.7
1243palmer_sem11_num22;17.8
1244palmer_5ou6_DAC_num22lado2;95.3
1245palmer_5ou6_DAC_num23lado1;42.2
1245palmer_sem11_num23;13.1
1246palmer_5ou6_DAC_num23lado2;17.9
1247palmer_5ou6_DAC_num24lado1;17.2
1247palmer_sem11_num24;23.5
1248palmer_5ou6_DAC_num24lado2;15.45
1249palmer_5ou6_DAC_num25lado1;14.25
1249palmer_sem11_num25;9.75
1250palmer_5ou6_DAC_num25lado2;15.1
1251palmer_5ou6_DAC_num26lado1;36.95
1251palmer_sem11_num26;11.6
1252palmer_5ou6_DAC_num26lado2;18.4
1253palmer_5ou6_DAC_num27lado1;19.95
1253palmer_sem11_num27;9.85
1254palmer_5ou6_DAC_num27lado2;38.2
1255palmer_5ou6_DAC_num28lado1;44.8
1255palmer_sem11_num28;8.55
1256palmer_5ou6_DAC_num28lado2;56
1257palmer_5ou6_DAC_num29lado1;46.75
1257palmer_sem11_num29;16.2
1258palmer_5ou6_DAC_num29lado2;46.85
1259palmer_5ou6_DAC_num30lado1;17.95
1259palmer_sem11_num30;8.7
1260palmer_5ou6_DAC_num30lado2;8.4
1261palmer_sem12_num1;13.25
1263palmer_sem12_num2;6.25
1265palmer_sem12_num3;9.15
1267palmer_sem12_num4;8.35
1269palmer_sem12_num5;6.65
1271palmer_sem12_num6;7.85
1273palmer_sem12_num7;7.1
1275palmer_sem12_num8;7.25
1277palmer_sem12_num9;7.3
1279palmer_sem12_num10;8.25
1281palmer_sem12_num11;4.45
1283palmer_sem12_num12;5.25
1285palmer_sem12_num13;6.15
1287palmer_sem12_num14;4.6
1289palmer_sem12_num15;6.2
1291palmer_sem12_num16;6.4
1293palmer_sem12_num17;5.6
1295palmer_sem12_num18;6.8
1297palmer_sem12_num19;4.25
1299palmer_sem12_num20;6.45
1301palmer_sem12_num21;7.95
1303palmer_sem12_num22;6.95
1305palmer_sem12_num23;5.2
1307palmer_sem12_num24;8.3
1309palmer_sem12_num25;8.3
1311palmer_sem12_num26;7.45
1313palmer_sem12_num27;6.1
1315palmer_sem12_num28;4.65
1317palmer_sem12_num29;5.5
1319palmer_sem12_num30;7
1321palmer_10_DAC_num1lado1;11.85
1322palmer_10_DAC_num1lado2;9.95
1323palmer_10_DAC_num2lado1;15.3
1324palmer_10_DAC_num2lado2;9.9
1325palmer_10_DAC_num3lado1;11
1326palmer_10_DAC_num3lado2;11.3
1327palmer_10_DAC_num4lado1;10.8
1328palmer_10_DAC_num4lado2;10.25
1329palmer_10_DAC_num5lado1;12.85
1330palmer_10_DAC_num5lado2;12.8
1331palmer_10_DAC_num6lado1;10.9
1332palmer_10_DAC_num6lado2;10.6
1333palmer_10_DAC_num7lado1;8.9
1334palmer_10_DAC_num7lado2;9.2
1335palmer_10_DAC_num8lado1;14.2
1336palmer_10_DAC_num8lado2;8.95
1337palmer_10_DAC_num9lado1;8.4
1338palmer_10_DAC_num9lado2;7.8
1339palmer_10_DAC_num10lado1;9.35
1340palmer_10_DAC_num10lado2;8.95
1341palmer_10_DAC_num11lado1;10.85
1342palmer_10_DAC_num11lado2;10.4
1343palmer_10_DAC_num12lado1;10.25
1344palmer_10_DAC_num12lado2;9.35
1345palmer_10_DAC_num13lado1;9.4
1346palmer_10_DAC_num13lado2;9.7
1347palmer_10_DAC_num14lado1;10.8
1348palmer_10_DAC_num14lado2;9.95
1349palmer_10_DAC_num15lado1;8.5
1350palmer_10_DAC_num15lado2;6.8
1351palmer_15ou16_DAC_num1lado1;4.1
1352palmer_15ou16_DAC_num1lado2;3.05
1353palmer_15ou16_DAC_num2lado1;4.4
1354palmer_15ou16_DAC_num2lado2;3.75
1355palmer_15ou16_DAC_num3lado1;6.65
1356palmer_15ou16_DAC_num3lado2;5.7
1357palmer_15ou16_DAC_num4lado1;3.85
1358palmer_15ou16_DAC_num4lado2;3.4
1359palmer_15ou16_DAC_num5lado1;3.6
1360palmer_15ou16_DAC_num5lado2;2.95
1361palmer_15ou16_DAC_num6lado1;7
1362palmer_15ou16_DAC_num6lado2;5.95
1363palmer_15ou16_DAC_num7lado1;6.6
1364palmer_15ou16_DAC_num7lado2;3.2
1365palmer_15ou16_DAC_num8lado1;4.8
1366palmer_15ou16_DAC_num8lado2;3.5
1367palmer_15ou16_DAC_num9lado1;3.9
1368palmer_15ou16_DAC_num9lado2;4.15
1369palmer_15ou16_DAC_num10lado1;4.9
1370palmer_15ou16_DAC_num10lado2;3.6
1371palmer_15ou16_DAC_num11lado1;6.4
1372palmer_15ou16_DAC_num11lado2;4.55
1373palmer_15ou16_DAC_num12lado1;3.8
1374palmer_15ou16_DAC_num12lado2;6
1375palmer_15ou16_DAC_num13lado1;8.4
1376palmer_15ou16_DAC_num13lado2;6.2
1377palmer_15ou16_DAC_num14lado1;7
