ind;sst
0597palmer_sem5_num59;5
0599palmer_sem5_num60;5
0601palmer_sem6_num1;5.9
0603palmer_sem6_num2;5.9
0605palmer_sem6_num3;6
0607palmer_sem6_num4;6
0609palmer_sem6_num5;6
0611palmer_sem6_num6;5.8
0613palmer_sem6_num7;6
0615palmer_sem6_num8;6
0617palmer_sem6_num9;5.8
0619palmer_sem6_num10;5.8
0621palmer_sem6_num11;5.8
0623palmer_sem6_num12;6
0625palmer_sem6_num13;6.2
0627palmer_sem6_num14;5.8
0629palmer_sem6_num15;5.8
0631palmer_sem6_num16;5.9
0633palmer_sem6_num17;5.8
0635palmer_sem6_num18;5.9
0637palmer_sem6_num19;5.8
0639palmer_sem6_num20;5.6
0641palmer_sem6_num21;5.8
0643palmer_sem6_num22;5.7
0645palmer_sem6_num23;5.4
0647palmer_sem6_num24;5.5
0649palmer_sem6_num25;5.7
0651palmer_sem6_num26;5.7
0653palmer_sem6_num27;5.8
0655palmer_sem6_num28;5.8
0657palmer_sem6_num29;5.8
0659palmer_sem6_num30;5.8
0661palmer_sem6_num31;6.1
0663palmer_sem6_num32;5.5
0665palmer_sem6_num33;6.4
0667palmer_sem6_num34;5.5
0669palmer_sem6_num35;5.7
0671palmer_sem6_num36;5.4
0673palmer_sem6_num37;5.9
0675palmer_sem6_num38;5.7
0677palmer_sem6_num39;6.1
0679palmer_sem6_num40;6
0681palmer_sem6_num41;5.7
0683palmer_sem6_num42;5.8
0685palmer_sem6_num43;5.7
0687palmer_sem6_num44;5.6
0689palmer_sem6_num45;5.8
0691palmer_sem6_num46;5.6
0693palmer_sem6_num47;5.8
0695palmer_sem6_num48;5.7
0697palmer_sem6_num49;5.7
0699palmer_sem6_num50;5.7
0701palmer_sem6_num51;5.7
0703palmer_sem6_num52;5.7
0705palmer_sem6_num53;5.5
0707palmer_sem6_num54;5.5
0709palmer_sem6_num55;5.5
0711palmer_sem6_num56;5.5
0713palmer_sem6_num57;6
0715palmer_sem6_num58;5.6
0717palmer_sem6_num59;5.4
0719palmer_sem6_num60;5.6
0721palmer_sem7_num1;5
0723palmer_sem7_num2;5.3
0725palmer_sem7_num3;5
0727palmer_sem7_num4;5.6
0729palmer_sem7_num5;5.6
0731palmer_sem7_num6;5.8
0733palmer_sem7_num7;5
0735palmer_sem7_num8;5.2
0737palmer_sem7_num9;5.4
0739palmer_sem7_num10;5.4
0741palmer_sem7_num11;5.8
0743palmer_sem7_num12;5.4
0745palmer_sem7_num13;5.6
0747palmer_sem7_num14;5.4
0749palmer_sem7_num15;5.4
0751palmer_sem7_num16;5.4
0753palmer_sem7_num17;5.6
0755palmer_sem7_num18;5.6
0757palmer_sem7_num19;6
0759palmer_sem7_num20;6
0761palmer_sem7_num21;6
0763palmer_sem7_num22;6
0765palmer_sem7_num23;6
0767palmer_sem7_num24;6
0769palmer_sem7_num25;5.8
0771palmer_sem7_num26;6
0773palmer_sem7_num27;6
0775palmer_sem7_num28;6
0777palmer_sem7_num29;6.2
0779palmer_sem7_num30;5.8
0781palmer_sem7_num31;6
0783palmer_sem7_num32;5.8
0785palmer_sem7_num33;6.2
0787palmer_sem7_num34;6.2
0789palmer_sem7_num35;6
0791palmer_sem7_num36;6
0793palmer_sem7_num37;5.6
0795palmer_sem7_num38;6
0797palmer_sem7_num39;6
0799palmer_sem7_num40;6
0801palmer_sem7_num41;5.8
0803palmer_sem7_num42;6.2
0805palmer_sem7_num43;6
0807palmer_sem7_num44;6.2
0809palmer_sem7_num45;6
0811palmer_sem7_num46;6
0813palmer_sem7_num47;6
0815palmer_sem7_num48;6.2
0817palmer_sem7_num49;6.4
0819palmer_sem7_num50;6.2
0821palmer_sem7_num51;6
0823palmer_sem7_num52;6.2
0825palmer_sem7_num53;6.4
0827palmer_sem7_num54;6
0829palmer_sem7_num55;6
0831palmer_sem7_num56;6
0833palmer_sem7_num57;5.8
0835palmer_sem7_num58;6.2
0837palmer_sem7_num59;6
0839palmer_sem7_num60;6.2
0841palmer_sem8_num1;6.2
0843palmer_sem8_num2;6
0845palmer_sem8_num3;5.8
0847palmer_sem8_num4;5.6
0849palmer_sem8_num5;5.6
0851palmer_sem8_num6;5.6
0853palmer_sem8_num7;5.4
0855palmer_sem8_num8;5
0857palmer_sem8_num9;5.6
0859palmer_sem8_num10;5.4
0861palmer_sem8_num11;5.6
0863palmer_sem8_num12;5.6
0865palmer_sem8_num13;5.4
0867palmer_sem8_num14;5.6
0869palmer_sem8_num15;6
0871palmer_sem8_num16;5.8
0873palmer_sem8_num17;5.4
0875palmer_sem8_num18;6.4
0877palmer_sem8_num19;5.6
0879palmer_sem8_num20;5.4
0881palmer_sem8_num21;5.2
0883palmer_sem8_num22;5.4
0885palmer_sem8_num23;5.2
0887palmer_sem8_num24;5.8
0889palmer_sem8_num25;7
0891palmer_sem8_num26;6.2
0893palmer_sem8_num27;6
0895palmer_sem8_num28;6.4
0897palmer_sem8_num29;6
0899palmer_sem8_num30;6
0901palmer_sem8_num31;6.8
0903palmer_sem8_num32;6.4
0905palmer_sem8_num33;6
0907palmer_sem8_num34;7.2
0909palmer_sem8_num35;6.8
0911palmer_sem8_num36;6.2
0913palmer_sem8_num37;7
0915palmer_sem8_num38;6
0917palmer_sem8_num39;6
0919palmer_sem8_num40;5.4
0921palmer_sem8_num41;5.6
0923palmer_sem8_num42;5.6
0925palmer_sem8_num43;5.8
0927palmer_sem8_num44;6.2
0929palmer_sem8_num45;7
0931palmer_sem8_num46;5.6
0933palmer_sem8_num47;5.4
0935palmer_sem8_num48;5.2
0937palmer_sem8_num49;6
0939palmer_sem8_num50;7.2
0941palmer_sem8_num51;5.8
0943palmer_sem8_num52;6
0945palmer_sem8_num53;5.6
0947palmer_sem8_num54;6.4
0949palmer_sem8_num55;6.4
0951palmer_sem8_num56;6.8
0953palmer_sem8_num57;6
0955palmer_sem8_num58;6.4
0957palmer_sem8_num59;7
0959palmer_sem8_num60;6.4
0961palmer_sem9_num1;6.6
0963palmer_sem9_num2;7
0965palmer_sem9_num3;6.8
0967palmer_sem9_num4;6.2
0969palmer_sem9_num5;6
0971palmer_sem9_num6;7
0973palmer_sem9_num7;6
0975palmer_sem9_num8;6
0977palmer_sem9_num9;6.2
0979palmer_sem9_num10;6.8
0981palmer_sem9_num11;5.6
0983palmer_sem9_num12;5.8
0985palmer_sem9_num13;6.4
0987palmer_sem9_num14;6.6
0989palmer_sem9_num15;6.4
0991palmer_sem9_num16;6.2
0993palmer_sem9_num17;7.4
0995palmer_sem9_num18;6.6
0997palmer_sem9_num19;6.4
0999palmer_sem9_num20;6.6
1001palmer_sem9_num21;6.8
1003palmer_sem9_num22;7.4
1005palmer_sem9_num23;6
1007palmer_sem9_num24;6.4
1009palmer_sem9_num25;7
1011palmer_sem9_num26;6.8
1013palmer_sem9_num27;7.4
1015palmer_sem9_num28;6.2
1017palmer_sem9_num29;6.6
1019palmer_sem9_num30;6.2
1021palmer_sem9_num31;6.4
1023palmer_sem9_num32;6
1025palmer_sem9_num33;6.2
1027palmer_sem9_num34;6.2
1029palmer_sem9_num35;7
1031palmer_sem9_num36;7.2
1033palmer_sem9_num37;6.2
1035palmer_sem9_num38;7
1037palmer_sem9_num39;8
1039palmer_sem9_num40;6.4
1041palmer_sem9_num41;6
1043palmer_sem9_num42;7
1045palmer_sem9_num43;7
1047palmer_sem9_num44;6.4
1049palmer_sem9_num45;6.4
1051palmer_sem9_num46;6.6
1053palmer_sem9_num47;6.2
1055palmer_sem9_num48;6.6
1057palmer_sem9_num49;6.4
1059palmer_sem9_num50;6
1061palmer_sem9_num51;6
1063palmer_sem9_num52;6.6
1065palmer_sem9_num53;6.6
1067palmer_sem9_num54;6
1069palmer_sem9_num55;6.4
1071palmer_sem9_num56;6.2
1073palmer_sem9_num57;6.2
1075palmer_sem9_num58;6
1077palmer_sem9_num59;6.2
1079palmer_sem9_num60;6
1081palmer_sem10_num1;6.3
1083palmer_sem10_num2;6.2
1085palmer_sem10_num3;5.9
1087palmer_sem10_num4;6.6
1089palmer_sem10_num5;6.3
1091palmer_sem10_num6;6.7
1093palmer_sem10_num7;7.5
1095palmer_sem10_num8;6.9
1097palmer_sem10_num9;6.1
1099palmer_sem10_num10;6.7
1101palmer_sem10_num11;6.3
1103palmer_sem10_num12;6.6
1105palmer_sem10_num13;7.2
1107palmer_sem10_num14;6.1
1109palmer_sem10_num15;6.8
1111palmer_sem10_num16;6.9
1113palmer_sem10_num17;6.8
1115palmer_sem10_num18;6.2
1117palmer_sem10_num19;6.8
1119palmer_sem10_num20;6.8
1121palmer_sem10_num21;6.5
1123palmer_sem10_num22;6.6
1125palmer_sem10_num23;6.4
1127palmer_sem10_num24;6.5
1129palmer_sem10_num25;6.2
1131palmer_sem10_num26;6.7
1133palmer_sem10_num27;6.9
1135palmer_sem10_num28;6.4
1137palmer_sem10_num29;6.6
1139palmer_sem10_num30;6.2
1141palmer_sem10_num31;6.8
1143palmer_sem10_num32;6.3
1145palmer_sem10_num33;6.5
1147palmer_sem10_num34;6.3
1149palmer_sem10_num35;6.7
1151palmer_sem10_num36;6.5
1153palmer_sem10_num37;6.5
1155palmer_sem10_num38;6
1157palmer_sem10_num39;6.3
1159palmer_sem10_num40;6.5
1161palmer_sem10_num41;6.8
1163palmer_sem10_num42;6.6
1165palmer_sem10_num43;14.2
1167palmer_sem10_num44;7.1
1169palmer_sem10_num45;6.5
1171palmer_sem10_num46;6.8
1173palmer_sem10_num47;6.9
1175palmer_sem10_num48;7
1177palmer_sem10_num49;6.3
1179palmer_sem10_num50;6.4
1181palmer_sem10_num51;5.8
1183palmer_sem10_num52;6.2
1185palmer_sem10_num53;9.1
1187palmer_sem10_num54;6.1
1189palmer_sem10_num55;6.7
1191palmer_sem10_num56;6.6
1193palmer_sem10_num57;6.6
1195palmer_sem10_num58;6.8
1197palmer_sem10_num59;12.4
1199palmer_sem10_num60;6.6
1201palmer_5ou6_DAC_num1lado1;10.5
1201palmer_sem11_num1;12.4
1202palmer_5ou6_DAC_num1lado2;11.3
1203palmer_5ou6_DAC_num2lado1;14
1203palmer_sem11_num2;13.5
1204palmer_5ou6_DAC_num2lado2;13.4
1205palmer_5ou6_DAC_num3lado1;13.3
1205palmer_sem11_num3;12.1
1206palmer_5ou6_DAC_num3lado2;12.6
1207palmer_5ou6_DAC_num4lado1;9.9
1207palmer_sem11_num4;13
1208palmer_5ou6_DAC_num4lado2;9
1209palmer_5ou6_DAC_num5lado1;11.6
1209palmer_sem11_num5;11.3
1210palmer_5ou6_DAC_num5lado2;11.3
1211palmer_5ou6_DAC_num6lado1;13.1
1211palmer_sem11_num6;11.1
1212palmer_5ou6_DAC_num6lado2;13.1
1213palmer_5ou6_DAC_num7lado1;11
1213palmer_sem11_num7;12.6
1214palmer_5ou6_DAC_num7lado2;10.4
1215palmer_5ou6_DAC_num8lado1;9.8
1215palmer_sem11_num8;11.8
1216palmer_5ou6_DAC_num8lado2;10.1
1217palmer_5ou6_DAC_num9lado1;10.4
1217palmer_sem11_num9;11.7
1218palmer_5ou6_DAC_num9lado2;10.3
1219palmer_5ou6_DAC_num10lado1;15.8
1219palmer_sem11_num10;13.7
1220palmer_5ou6_DAC_num10lado2;16.1
1221palmer_5ou6_DAC_num11lado1;9.9
1221palmer_sem11_num11;13.1
1222palmer_5ou6_DAC_num11lado2;10
1223palmer_5ou6_DAC_num12lado1;10.3
1223palmer_sem11_num12;13.5
1224palmer_5ou6_DAC_num12lado2;10.6
1225palmer_5ou6_DAC_num13lado1;8.7
1225palmer_sem11_num13;11.9
1226palmer_5ou6_DAC_num13lado2;8.1
1227palmer_5ou6_DAC_num14lado1;8.9
1227palmer_sem11_num14;13
1228palmer_5ou6_DAC_num14lado2;8.9
1229palmer_5ou6_DAC_num15lado1;12.4
1229palmer_sem11_num15;14.4
1230palmer_5ou6_DAC_num15lado2;10.9
1231palmer_5ou6_DAC_num16lado1;12.5
1231palmer_sem11_num16;14.2
1232palmer_5ou6_DAC_num16lado2;14.5
1233palmer_5ou6_DAC_num17lado1;14.6
1233palmer_sem11_num17;13.2
1234palmer_5ou6_DAC_num17lado2;15
1235palmer_5ou6_DAC_num18lado1;10.8
1235palmer_sem11_num18;10
1236palmer_5ou6_DAC_num18lado2;9.9
1237palmer_5ou6_DAC_num19lado1;12.3
1237palmer_sem11_num19;12.9
1238palmer_5ou6_DAC_num19lado2;14.2
1239palmer_5ou6_DAC_num20lado1;12.9
1239palmer_sem11_num20;13
1240palmer_5ou6_DAC_num20lado2;11.8
1241palmer_5ou6_DAC_num21lado1;9.8
1241palmer_sem11_num21;12.3
1242palmer_5ou6_DAC_num21lado2;9.2
1243palmer_5ou6_DAC_num22lado1;9
1243palmer_sem11_num22;12.3
1244palmer_5ou6_DAC_num22lado2;10.3
1245palmer_5ou6_DAC_num23lado1;12.1
1245palmer_sem11_num23;12.7
1246palmer_5ou6_DAC_num23lado2;13.2
1247palmer_5ou6_DAC_num24lado1;13.5
1247palmer_sem11_num24;12.5
1248palmer_5ou6_DAC_num24lado2;13.8
1249palmer_5ou6_DAC_num25lado1;13.6
1249palmer_sem11_num25;14.2
1250palmer_5ou6_DAC_num25lado2;15.4
1251palmer_5ou6_DAC_num26lado1;10.3
1251palmer_sem11_num26;13.7
1252palmer_5ou6_DAC_num26lado2;11.5
1253palmer_5ou6_DAC_num27lado1;11.4
1253palmer_sem11_num27;12.6
1254palmer_5ou6_DAC_num27lado2;12.3
1255palmer_5ou6_DAC_num28lado1;10
1255palmer_sem11_num28;14.6
1256palmer_5ou6_DAC_num28lado2;9.4
1257palmer_5ou6_DAC_num29lado1;11.5
1257palmer_sem11_num29;12.4
1258palmer_5ou6_DAC_num29lado2;12.3
1259palmer_5ou6_DAC_num30lado1;12.5
1259palmer_sem11_num30;13
1260palmer_5ou6_DAC_num30lado2;14.1
1261palmer_sem12_num1;14.5
1263palmer_sem12_num2;14.4
1265palmer_sem12_num3;16.7
1267palmer_sem12_num4;13.4
1269palmer_sem12_num5;17.4
1271palmer_sem12_num6;14.3
1273palmer_sem12_num7;13.3
1275palmer_sem12_num8;16.8
1277palmer_sem12_num9;14.6
1279palmer_sem12_num10;14.7
1281palmer_sem12_num11;14.5
1283palmer_sem12_num12;13.9
1285palmer_sem12_num13;16.1
1287palmer_sem12_num14;13.7
1289palmer_sem12_num15;14.8
1291palmer_sem12_num16;15.4
1293palmer_sem12_num17;17.3
1295palmer_sem12_num18;14.3
1297palmer_sem12_num19;15.9
1299palmer_sem12_num20;14.4
1301palmer_sem12_num21;14.2
1303palmer_sem12_num22;15.1
1305palmer_sem12_num23;16.9
1307palmer_sem12_num24;12.8
1309palmer_sem12_num25;16.5
1311palmer_sem12_num26;12.9
1313palmer_sem12_num27;15.9
1315palmer_sem12_num28;15.8
1317palmer_sem12_num29;14.9
1319palmer_sem12_num30;14.4
1321palmer_10_DAC_num1lado1;17.3
1322palmer_10_DAC_num1lado2;17.4
1323palmer_10_DAC_num2lado1;15.3
1324palmer_10_DAC_num2lado2;15.9
1325palmer_10_DAC_num3lado1;16.1
1326palmer_10_DAC_num3lado2;16.8
1327palmer_10_DAC_num4lado1;14.1
1328palmer_10_DAC_num4lado2;14.5
1329palmer_10_DAC_num5lado1;13.7
1330palmer_10_DAC_num5lado2;13.8
1331palmer_10_DAC_num6lado1;15.9
1332palmer_10_DAC_num6lado2;17.3
1333palmer_10_DAC_num7lado1;15.3
1334palmer_10_DAC_num7lado2;15
1335palmer_10_DAC_num8lado1;14.3
1336palmer_10_DAC_num8lado2;13.9
1337palmer_10_DAC_num9lado1;18.9
1338palmer_10_DAC_num9lado2;19.7
1339palmer_10_DAC_num10lado1;17.3
1340palmer_10_DAC_num10lado2;15.4
1341palmer_10_DAC_num11lado1;15.6
1342palmer_10_DAC_num11lado2;16
1343palmer_10_DAC_num12lado1;12.8
1344palmer_10_DAC_num12lado2;12.6
1345palmer_10_DAC_num13lado1;15.2
1346palmer_10_DAC_num13lado2;16.2
1347palmer_10_DAC_num14lado1;11.7
1348palmer_10_DAC_num14lado2;11.6
1349palmer_10_DAC_num15lado1;13.9
1350palmer_10_DAC_num15lado2;13.6
1351palmer_15ou16_DAC_num1lado1;15.9
1352palmer_15ou16_DAC_num1lado2;16
1353palmer_15ou16_DAC_num2lado1;14.1
1354palmer_15ou16_DAC_num2lado2;14.4
1355palmer_15ou16_DAC_num3lado1;17.3
1356palmer_15ou16_DAC_num3lado2;17
1357palmer_15ou16_DAC_num4lado1;12.7
1358palmer_15ou16_DAC_num4lado2;12
1359palmer_15ou16_DAC_num5lado1;17.6
1360palmer_15ou16_DAC_num5lado2;15.8
1361palmer_15ou16_DAC_num6lado1;15.6
1362palmer_15ou16_DAC_num6lado2;15.1
1363palmer_15ou16_DAC_num7lado1;18.2
1364palmer_15ou16_DAC_num7lado2;18.9
1365palmer_15ou16_DAC_num8lado1;17
1366palmer_15ou16_DAC_num8lado2;18
1367palmer_15ou16_DAC_num9lado1;16.5
1368palmer_15ou16_DAC_num9lado2;16.6
1369palmer_15ou16_DAC_num10lado1;12.8
1370palmer_15ou16_DAC_num10lado2;12.8
1371palmer_15ou16_DAC_num11lado1;17
1372palmer_15ou16_DAC_num11lado2;17.8
1373palmer_15ou16_DAC_num12lado1;18.6
1374palmer_15ou16_DAC_num12lado2;16.5
1375palmer_15ou16_DAC_num13lado1;17.2
1376palmer_15ou16_DAC_num13lado2;15.2
1377palmer_15ou16_DAC_num14lado1;16.1
1378palmer_15ou16_DAC_num14lado2;16.3
1379palmer_15ou16_DAC_num15lado1;16.8
1380palmer_15ou16_DAC_num15lado2;14.9
1381palmer_15ou16_DAC_num16lado1;15.1
1382palmer_15ou16_DAC_num16lado2;13.7
1383palmer_15ou16_DAC_num17lado1;12.3
1384palmer_15ou16_DAC_num17lado2;12.6
1385palmer_15ou16_DAC_num18lado1;18.4
1386palmer_15ou16_DAC_num18lado2;17.5
