ind;sst;mean_H_full;mean_S_full;mean_V_full
0101palmer_sem1_num51;4.2;27.49268442998341;77.45776938632802;57.00823849658067
0103palmer_sem1_num52;4.2;26.25716002984486;88.37384809606142;60.45337125551773
0105palmer_sem1_num53;5.2;29.130517155870706;77.90754348798998;53.80186921909292
0107palmer_sem1_num54;4.4;30.818736677739683;88.41932617415918;62.886053617319526
0109palmer_sem1_num55;5.3;27.397287103216602;85.1334824396795;56.77059259784825
0111palmer_sem1_num56;4.5;28.912109302890936;98.30399173665992;70.1502795858909
0113palmer_sem1_num57;4.4;28.77466372172174;87.6135322922434;58.91453597193265
0115palmer_sem1_num58;4.4;25.181191998286963;83.19464030760784;59.6293496548066
0117palmer_sem1_num59;4.2;27.86768241536085;87.57159502014844;59.071375511865156
0119palmer_sem1_num60;4.2;29.825052553835764;78.85881053330894;54.578573163911884
0121palmer_sem2_num1;6.2;27.068993380000965;89.90533674618965;64.07269742067174
0123palmer_sem2_num2;4.5;28.531725149978513;94.33847976020132;65.02392155057993
0125palmer_sem2_num3;5.9;28.585001774464125;89.97225104950388;61.57693321199522
0127palmer_sem2_num4;4.6;30.83282474621133;93.12025017690245;62.30229938596682
0129palmer_sem2_num5;6.0;28.581386011666087;96.19183551218748;59.42637673504308
0131palmer_sem2_num6;4.1;29.60564622477141;92.06207228144504;61.119698795024064
0133palmer_sem2_num7;5.3;28.828471452629824;92.33373345437886;68.14777598564805
0135palmer_sem2_num8;4.2;31.042888455909925;105.60604040918908;70.14607187825189
0137palmer_sem2_num9;5.9;29.16049152698273;87.33393527840893;59.16672932237735
0139palmer_sem2_num10;4.3;29.67423382282461;94.37742506212713;62.24327186696121
0141palmer_sem2_num11;6.1;26.366912937139748;85.17093626326519;59.24065401607376
0143palmer_sem2_num12;4.6;26.39349128121845;82.01017420927818;55.71342764358779
0145palmer_sem2_num13;6.0;24.804521337808808;86.14704190130125;53.51148554709295
0147palmer_sem2_num14;4.4;29.80624741529829;90.38726121421342;63.81640660044857
0149palmer_sem2_num15;6.3;29.56712166890088;89.67545442391119;60.72501465865362
0151palmer_sem2_num16;4.1;30.86339301002868;93.1502268207273;64.94516035140501
0153palmer_sem2_num17;6.9;30.900790089300052;96.9768282357436;61.80771771089158
0155palmer_sem2_num18;4.2;29.71756153025112;102.969051413409;59.82921602976181
0157palmer_sem2_num19;6.3;26.099531083921107;85.02278025446783;58.36730885347958
0159palmer_sem2_num20;4.6;29.052885025375513;91.10201642364134;61.51333062090258
0161palmer_sem2_num21;6.1;27.676103819799124;82.92373584304394;55.384625099530545
0163palmer_sem2_num22;4.5;31.4654265462979;79.45956967016431;51.25587671704972
0165palmer_sem2_num23;6.1;27.554012318784785;85.44504879929526;56.05962601815671
0167palmer_sem2_num24;4.9;27.31870672535326;92.51135784401696;57.4070419804091
0169palmer_sem2_num25;5.0;25.815938535670142;89.07126899282301;55.45578294688215
0171palmer_sem2_num26;4.1;31.390471311122646;100.4079702539622;65.32002373892038
0173palmer_sem2_num27;6.2;25.638450977462725;87.6140617138919;62.31948440436353
0175palmer_sem2_num28;4.5;28.114894976402105;84.08646968466789;56.03774052564785
0177palmer_sem2_num29;5.9;29.844895564711145;79.23742887142151;55.3829088090936
0179palmer_sem2_num30;4.7;28.653321246913514;91.125024757421;63.099434889109155
0181palmer_sem2_num31;4.8;31.452849410253638;98.30589090550684;68.05733256544353
0183palmer_sem2_num32;4.5;31.540004573124506;102.48597308252971;68.15556586316634
0185palmer_sem2_num33;4.4;28.875928560351426;91.11069405477238;61.74162312059409
0187palmer_sem2_num34;4.6;31.672277015856906;94.21411447783329;60.29447494983266
0189palmer_sem2_num35;6.0;30.918558608855022;88.57919587341104;60.536076622849805
0191palmer_sem2_num36;4.5;32.11022356512878;90.54616588164808;58.421405126848796
0193palmer_sem2_num37;5.6;27.417786728731485;86.2655214451103;60.60208048994723
0195palmer_sem2_num38;4.6;28.610388575358314;92.86656838810393;69.7484465437637
0197palmer_sem2_num39;4.6;29.47868515418981;94.52310446455677;61.9981129187676
0199palmer_sem2_num40;4.9;27.447293545275784;80.4944003392762;55.90582640091975
0201palmer_sem2_num41;5.4;26.22302720330923;87.78217629421543;65.06664771250632
0203palmer_sem2_num42;4.3;31.40947542535468;84.75830345710223;57.66664553336653
0205palmer_sem2_num43;5.8;26.07208066566039;78.84931640651033;59.459153876240464
0207palmer_sem2_num44;5.1;31.65474458127277;97.1812187311656;65.71999221147504
0209palmer_sem2_num45;6.0;30.813343524000782;98.73500767002052;68.66441886802613
0211palmer_sem2_num46;5.0;24.39324563483264;74.7417337194812;56.1892665643344
0213palmer_sem2_num47;6.0;26.804324169405817;78.23051871391668;57.4964096540134
0215palmer_sem2_num48;4.6;31.703734377165066;91.75327795560824;59.903558809741895
0217palmer_sem2_num49;4.3;28.869968883433128;96.60038130056671;59.481063336534405
0219palmer_sem2_num50;4.1;27.336791870012714;74.49177854304764;52.32612028450542
0221palmer_sem2_num51;6.2;26.713865178034162;91.20384638305096;60.612540840003604
0223palmer_sem2_num52;4.5;31.93515750790034;94.08136932723656;66.75344336152739
0225palmer_sem2_num53;5.6;31.66575691266989;88.88745777215681;60.01456191100189
0227palmer_sem2_num54;4.2;30.667464176652516;98.09767874844059;73.3129181233885
0229palmer_sem2_num55;5.5;30.63961310472014;93.61984917092589;64.52537605530448
0231palmer_sem2_num56;4.7;31.46409352850684;92.31341002771515;59.6256903399181
0233palmer_sem2_num57;5.0;26.125726857568125;89.27578649818706;61.748750103742246
0235palmer_sem2_num58;4.6;29.551652692506607;86.0776081472381;60.88632170752243
0237palmer_sem2_num59;4.5;31.511639506501023;91.4753211104901;58.027258506858644
0239palmer_sem2_num60;4.5;29.290227630790238;103.32715540903351;71.88497582236648
0241palmer_sem3_num1;5.4;29.74126233884575;107.47303672671845;66.36936990353415
0243palmer_sem3_num2;5.1;30.421798136851834;81.92266969832501;53.90768864568568
0245palmer_sem3_num3;6.0;32.467834207672325;87.58055375715246;58.58556800518292
0247palmer_sem3_num4;5.6;33.041488943604016;91.68487927535023;63.322284399708785
0249palmer_sem3_num5;6.0;24.968924275600862;74.0234129570445;56.33602229627076
0251palmer_sem3_num6;5.0;30.521291067418257;75.7762598753273;54.761923517900144
0253palmer_sem3_num7;6.2;26.631894879255608;66.65539615741339;50.97227666510331
0255palmer_sem3_num8;4.6;31.803897434107924;79.82599565595667;56.768723265363036
0257palmer_sem3_num9;5.8;26.49794329665681;93.6511530691152;58.22513958860834
0259palmer_sem3_num10;5.2;30.51790288898394;83.66637958811765;56.113008070251425
0261palmer_sem3_num11;6.0;29.437211448047837;84.56464396562889;59.18050614100212
0263palmer_sem3_num12;4.7;32.589121295583965;72.6012885576252;52.62302113486079
0265palmer_sem3_num13;5.2;31.08946865512368;78.95890102146845;54.286516588203405
0267palmer_sem3_num14;5.1;31.895901055045954;83.96908398637945;59.46149427540379
0269palmer_sem3_num15;6.0;30.78346689875267;64.1922580345077;51.605991307097476
0271palmer_sem3_num16;4.5;29.740163463051747;88.5292580404097;60.9919562776854
0273palmer_sem3_num17;6.3;30.93137471286393;82.7065788512543;57.3087094344465
0275palmer_sem3_num18;4.5;26.10679363928781;87.8125605479438;62.26205636737009
0277palmer_sem3_num19;6.2;35.34583054296131;82.39207975864372;54.675944396838226
0279palmer_sem3_num20;4.4;33.69907466715425;83.39684958677833;56.196649078326
0281palmer_sem3_num21;5.1;26.271907354988;74.21855030528174;53.39651155894764
0283palmer_sem3_num22;4.4;25.900436580308128;76.55109189099093;57.43674816071577
0285palmer_sem3_num23;6.4;31.83947162857337;92.64044755384722;62.25203131604994
0287palmer_sem3_num24;4.5;30.71105895847657;88.44709816241054;62.63925786633494
0289palmer_sem3_num25;5.8;28.617300328502672;86.41035895562939;58.077865383034016
0291palmer_sem3_num26;4.3;29.03401362442194;78.85677631119366;50.61713855763855
0293palmer_sem3_num27;5.9;30.768747058005427;91.75026638864223;62.283756796423205
0295palmer_sem3_num28;4.4;33.42759347314201;105.926724765663;63.729386081092436
0297palmer_sem3_num29;5.6;27.86090919658485;78.84391756198465;55.87979652434266
0299palmer_sem3_num30;4.4;30.85719772749421;69.22663458069404;50.39169833989118
0301palmer_sem3_num31;5.8;31.65934549374304;90.8638435931058;63.79429937412082
0303palmer_sem3_num32;4.0;33.31225708785669;78.03868101187666;54.24592927047596
0305palmer_sem3_num33;5.8;25.78344617174621;79.11111727857661;57.539644647539816
0307palmer_sem3_num34;4.8;28.561186815721143;91.39000146701919;62.19119923101368
0309palmer_sem3_num35;6.0;32.11956315681263;81.26901272878037;55.80710391611346
0311palmer_sem3_num36;5.0;27.05732613337423;86.18501535759516;60.710446729648396
0313palmer_sem3_num37;5.4;31.877355740874115;93.79590264712186;61.58394086381516
0315palmer_sem3_num38;4.3;32.3875514029351;93.38639528860381;61.37183704961731
0317palmer_sem3_num39;6.0;28.75668658938757;91.99716138404068;65.42730727847304
0319palmer_sem3_num40;4.7;31.51556826261923;73.45823742752647;52.34368127493782
0321palmer_sem3_num41;6.0;27.242933505808878;100.57490589505915;62.4491431048146
0323palmer_sem3_num42;4.6;31.915973921637306;65.98448530045388;49.06623196830722
0325palmer_sem3_num43;5.4;29.65926484475349;80.78161448914892;56.433420930373536
0327palmer_sem3_num44;4.6;26.875479297251196;55.44281748662405;46.550052796419976
0329palmer_sem3_num45;5.8;31.62372525733779;100.63117942083731;64.49860516714224
0331palmer_sem3_num46;4.5;28.104427985772837;94.117386820357;64.16968853486169
0333palmer_sem3_num47;6.0;28.685224752366647;87.80328384726923;59.22169024403904
0335palmer_sem3_num48;4.5;32.155847566166436;48.07685377524486;42.333489883046006
0337palmer_sem3_num49;5.2;31.595175387988448;66.1416584687041;49.32569889871239
0339palmer_sem3_num50;4.9;24.92442293250195;81.49306706403156;58.05498935981528
0341palmer_sem3_num51;5.8;33.612277845200026;99.15399691865109;64.86805460740085
0343palmer_sem3_num52;4.7;32.173909998274354;91.97584000480587;60.766622948726216
0345palmer_sem3_num53;5.9;33.47495585954532;86.40354344456699;57.63381468784149
0347palmer_sem3_num54;4.5;30.61944533191176;80.38457947423804;57.47674055041982
0349palmer_sem3_num55;5.6;27.70931139841052;73.2147259156423;51.71066683550002
0351palmer_sem3_num56;4.6;30.49511238867857;82.60509332255259;59.33065181076991
0353palmer_sem3_num57;5.8;31.217293428252077;67.5131988844894;49.54242410196998
0355palmer_sem3_num58;5.3;26.284951263274532;92.47474498027896;67.92676070841192
0357palmer_sem3_num59;5.8;32.53043489333721;65.52848347556844;47.610329408899105
0359palmer_sem3_num60;4.9;31.00627570764994;99.673299208132;64.46252882388487
0361palmer_sem4_num1;6.0;30.57528881325397;98.40581436149051;51.69577712652647
0363palmer_sem4_num2;5.1;31.26700018493917;89.2436781323285;48.813020189576775
0365palmer_sem4_num3;6.2;26.95431837940115;77.27675956354933;46.7048316334793
0367palmer_sem4_num4;5.2;30.55575615847421;98.37862800657363;54.666271503299726
0369palmer_sem4_num5;5.1;28.63400170922341;87.87603617421402;50.1951887133631
0371palmer_sem4_num6;7.0;28.954098543589915;74.72128972420697;43.150048496250065
0373palmer_sem4_num7;6.4;28.990458092418052;80.09866296405109;46.88594521185542
0375palmer_sem4_num8;4.6;26.33208417818552;68.54262145906192;43.07105634876061
0377palmer_sem4_num9;5.8;25.88216965624636;87.3604122593755;46.214761668463524
0379palmer_sem4_num10;6.0;37.843863383906594;53.318090909701716;45.71090366399399
0381palmer_sem4_num11;6.8;27.055810127398125;85.68068896240862;47.92082593899782
0383palmer_sem4_num12;6.3;31.861609175210265;96.30282174366285;54.99016030794481
0385palmer_sem4_num13;6.8;28.23316153988474;71.68621681444341;43.71648276956565
0387palmer_sem4_num14;6.4;27.926146625147236;96.07781183699863;55.88110412639515
0389palmer_sem4_num15;6.0;27.02939516692189;80.76587153664778;46.318027072647
0391palmer_sem4_num16;5.8;21.40596601060205;94.99647559551308;52.00340910943317
0393palmer_sem4_num17;5.8;29.60789195046073;87.16108336113012;53.35097650760522
0395palmer_sem4_num18;5.4;27.62019701495178;87.44976392139381;49.17130929906754
0397palmer_sem4_num19;5.5;39.75829727392478;67.70573711523448;41.537977754554895
0399palmer_sem4_num20;6.0;33.08557579148419;81.64217931910063;52.49978220503375
0401palmer_sem4_num21;5.8;27.746504143994713;84.30456113046134;49.820678320620395
0403palmer_sem4_num22;6.0;32.65656782489009;101.62069851021911;58.076862095293066
0405palmer_sem4_num23;6.0;31.26464804464708;81.5927442820838;49.89704672238613
0407palmer_sem4_num24;6.2;24.766261322999462;59.37609678413578;40.81772175607257
0409palmer_sem4_num25;6.2;27.76794824098293;70.83837536328429;46.29443546842514
0411palmer_sem4_num26;6.0;31.59185833946989;110.642617412251;63.34624758066599
0413palmer_sem4_num27;5.4;27.4599158501969;92.74694062621599;54.82935243079797
0415palmer_sem4_num28;6.0;27.009951098505912;95.65567222769863;58.11750502155849
0417palmer_sem4_num29;5.0;29.51789113996418;78.46959562857116;51.74128801766818
0419palmer_sem4_num30;5.4;29.051564850974284;72.08876927171775;44.83061765284666
0421palmer_sem4_num31;5.2;28.199332496310515;81.25851370888125;53.12965547085904
0423palmer_sem4_num32;5.8;28.283347680294014;82.73693021267718;49.892237408918994
0425palmer_sem4_num33;5.0;29.695079261342247;88.13865629341774;51.698310116232264
0427palmer_sem4_num34;6.0;24.95087784001717;84.43749014298305;49.67320584024424
0429palmer_sem4_num35;5.8;33.56469694100587;69.0554823683478;43.687377821389944
0431palmer_sem4_num36;5.2;32.680268256542924;87.42604884797731;49.54707673744701
0433palmer_sem4_num37;5.6;29.25634720569277;66.62001955777515;44.02868740184318
0435palmer_sem4_num38;5.8;25.54225719643301;100.15812929116905;56.32979435103788
0437palmer_sem4_num39;5.8;26.61135680811089;68.59158900970253;45.65099942614106
0439palmer_sem4_num40;5.8;29.4299029121365;81.70951701246312;53.23267447495748
0441palmer_sem4_num41;5.9;30.782980412888232;95.76166591816622;54.307343522201926
0443palmer_sem4_num42;6.0;27.553396154537893;82.0760000236867;50.03850049177929
0445palmer_sem4_num43;5.6;28.54545799055791;85.7080299433488;52.41966658995256
0447palmer_sem4_num44;5.4;29.115418513647707;81.59130949267163;50.53914086391058
0449palmer_sem4_num45;5.8;26.683309660114197;96.6338432832422;55.5938077540823
0451palmer_sem4_num46;6.2;27.050815220073535;73.65917233764743;48.489145056775094
0453palmer_sem4_num47;5.8;27.081863162354175;65.80081592296523;41.65099269247099
0455palmer_sem4_num48;6.0;32.52413906915387;72.36994021303268;42.996233171168214
0457palmer_sem4_num49;6.0;27.50590142836145;80.03311652368293;45.269216432294904
0459palmer_sem4_num50;6.0;30.16648695153299;93.70057570366971;55.2266213736318
0461palmer_sem4_num51;5.4;32.380597397570874;82.7911123333715;49.023062851191405
0463palmer_sem4_num52;5.6;23.314718802183126;93.21965995856071;55.67705496445522
0465palmer_sem4_num53;6.0;30.866164697559185;93.23602574120079;52.81733315047453
0467palmer_sem4_num54;6.0;28.428894219743885;76.74632168771974;45.19850817893257
0469palmer_sem4_num55;5.4;28.243332347860786;78.88311284306643;48.957850057774465
0471palmer_sem4_num56;5.4;25.087308908013078;90.21558403093495;54.07726144135896
0473palmer_sem4_num57;5.6;28.107565342223182;99.23842042670113;59.700462362846714
0475palmer_sem4_num58;6.0;27.2097117257248;88.74409588645685;50.95233941438552
0477palmer_sem4_num59;5.8;26.679802862016807;86.97925461549603;51.88935048531985
0479palmer_sem4_num60;5.6;34.11332754185492;64.62960426843185;43.29618811811574
0481palmer_sem5_num1;5.0;31.880369548851853;86.72768752610224;48.72146788900917
0483palmer_sem5_num2;6.8;30.56193246747499;82.21970955137314;47.37874635480125
0485palmer_sem5_num3;5.0;32.70307892639827;73.96464637710847;47.00406379967811
0487palmer_sem5_num4;5.2;54.018648935844965;74.46540105362371;44.12134766991332
0489palmer_sem5_num5;5.0;55.99730949012948;69.20141136455733;43.37503291796436
0491palmer_sem5_num6;5.2;28.55299057475818;81.64305396558625;46.47349090211978
0493palmer_sem5_num7;5.4;49.9506840593195;69.80346333876328;42.745799707789466
0495palmer_sem5_num8;5.0;66.39950600244899;74.17104407459439;47.47837290168753
0497palmer_sem5_num9;5.2;67.16499223081534;69.744168140217;43.778018221412815
0499palmer_sem5_num10;5.0;38.404245590436226;75.38417342527922;46.79282380771053
0501palmer_sem5_num11;5.4;29.19220296798479;74.05992836339249;43.330406015647256
0503palmer_sem5_num12;5.2;34.34927806561429;66.30538079959818;43.33870181129959
0505palmer_sem5_num13;5.4;27.189382919565965;63.39846095426189;41.95810086256442
0507palmer_sem5_num14;5.4;48.67295299526632;71.16589518381848;42.60776908106793
0509palmer_sem5_num15;6.0;39.76520125843889;67.70610299864299;47.283713554964564
0511palmer_sem5_num16;5.4;32.31628063559971;87.57662699613165;51.70942985477068
0513palmer_sem5_num17;5.8;32.530233365547275;80.78859304585876;47.542275348324004
0515palmer_sem5_num18;5.8;38.37957464529338;58.54834673302703;37.74570098502987
0517palmer_sem5_num19;5.4;70.24665946159232;69.95738997959336;46.006328596282536
0519palmer_sem5_num20;5.6;38.775037801329;65.25652301737624;41.21726124176653
0521palmer_sem5_num21;5.2;84.60729686332819;45.47424145735129;32.7205121776366
0523palmer_sem5_num22;6.0;27.602471729592565;97.78636930827749;60.9517527658921
0525palmer_sem5_num23;5.8;35.36878811434565;67.82508865944385;41.106350189091614
0527palmer_sem5_num24;6.0;34.09053360545502;79.22224368447795;52.02869454780881
0529palmer_sem5_num25;5.4;38.75935140839576;80.9485875217176;52.21022220475172
0531palmer_sem5_num26;6.2;37.54200413231193;82.23011135503451;49.38996313402704
0533palmer_sem5_num27;6.0;37.228585602789344;73.2154475872793;46.267987076074846
0535palmer_sem5_num28;6.0;51.371965616160345;58.225750450909175;38.36371954645449
0537palmer_sem5_num29;5.4;31.05818180449748;75.53520003164884;48.956517786866996
0539palmer_sem5_num30;5.6;43.03324488416522;63.88214734292893;40.61253256374407
0541palmer_sem5_num31;5.4;31.500680237503282;58.99480287979644;44.18036865597697
0543palmer_sem5_num32;5.6;32.251910321187694;70.79123174697997;45.92708777954393
0545palmer_sem5_num33;5.6;32.81856075790576;74.93968570344144;49.11219016926192
0547palmer_sem5_num34;5.2;50.102761488680194;65.63735218084885;41.582880004949295
0549palmer_sem5_num35;5.8;72.87087630649216;63.200797646399096;40.48888515703979
0551palmer_sem5_num36;5.8;41.11666416112885;71.73129891252336;45.91941916313115
0553palmer_sem5_num37;5.4;35.23425981578943;88.56977311943348;54.926972845882005
0555palmer_sem5_num38;5.4;45.00819376403189;70.44249124066613;46.686490085542154
0557palmer_sem5_num39;5.8;41.887436683087394;56.949225207902;42.82495812830108
0559palmer_sem5_num40;6.0;36.70127346410898;90.58715182760338;58.38799797393985
0561palmer_sem5_num41;5.4;42.71703366883183;59.07069113843376;40.45013401517335
0563palmer_sem5_num42;5.4;39.37992602837117;83.18055384630287;49.88988131712372
0565palmer_sem5_num43;5.2;28.138028537668127;83.11666128663477;53.64990652792397
0567palmer_sem5_num44;5.4;46.634568621363385;64.63043742619057;44.09418329841989
0569palmer_sem5_num45;5.0;33.83087907571185;80.1397943154216;50.364097531403246
0571palmer_sem5_num46;5.4;47.87134571620099;71.81425404133958;47.6396831996781
0573palmer_sem5_num47;5.0;39.7410669898525;68.07402082313828;45.50776829743531
0575palmer_sem5_num48;5.6;46.309717830746145;59.97025588781186;41.444325596069724
0577palmer_sem5_num49;5.2;36.143197888360255;67.81904770739554;44.50307191273545
0579palmer_sem5_num50;5.0;61.81352749798765;69.9416195327288;43.774181706859075
0581palmer_sem5_num51;5.6;50.8932353771501;84.54966514860592;54.303617319326925
0583palmer_sem5_num52;5.4;24.19650137624609;69.13764179250093;43.89840020175149
0585palmer_sem5_num53;5.0;26.913685779010983;63.79139486885281;46.428977526055114
0587palmer_sem5_num54;5.2;44.365576711422996;60.9571283061081;41.186458523889506
0589palmer_sem5_num55;5.2;44.64746687184137;55.976144915935535;38.73681299702818
0591palmer_sem5_num56;5.4;52.60796996165178;53.9134768509649;38.357224381092365
0593palmer_sem5_num57;5.0;59.32491550374468;72.12611565432567;47.1241023737125
0595palmer_sem5_num58;5.2;69.85321380349096;49.20551126417463;35.841932784384525
0597palmer_sem5_num59;5.0;67.08707197193155;68.79482940760471;47.16969438062721
0599palmer_sem5_num60;5.0;40.354498247274776;70.73410129008343;45.543086096083094
0601palmer_sem6_num1;5.9;66.20163949385781;69.15749986236428;41.18945742842803
0603palmer_sem6_num2;5.9;97.74746948443115;56.93885863399312;30.131741212420998
0605palmer_sem6_num3;6.0;37.96761653290528;78.19259450532405;42.38508067866161
0607palmer_sem6_num4;6.0;73.25048456547506;48.31923759794164;30.048576153322173
0609palmer_sem6_num5;6.0;65.20262642541944;60.18471546921442;37.98949361683654
0611palmer_sem6_num6;5.8;44.960550330164295;76.76656806436421;45.6892772652759
0613palmer_sem6_num7;6.0;64.30081510359885;76.86600346081723;47.15022032743639
0615palmer_sem6_num8;6.0;80.15295223737834;52.43735930228655;34.51402130368156
0617palmer_sem6_num9;5.8;58.47905754965282;60.35517308925159;40.570097143792
0619palmer_sem6_num10;5.8;47.88019118487607;62.65401863656566;40.50675950568343
0621palmer_sem6_num11;5.8;69.58340940232542;48.579027641023906;37.3131518430899
0623palmer_sem6_num12;6.0;44.88076743119281;84.71362504241384;48.43182513698589
0625palmer_sem6_num13;6.2;34.917473404407104;67.89348575881638;43.0837032948054
0627palmer_sem6_num14;5.8;30.857731922740264;63.32331945267787;40.71851248103707
0629palmer_sem6_num15;5.8;51.92757315989903;81.73127827161615;41.52542341475038
0631palmer_sem6_num16;5.9;40.06660231378646;78.23589875170343;43.67839212827061
0633palmer_sem6_num17;5.8;70.9893521239987;61.918949581500215;37.36069344313737
0635palmer_sem6_num18;5.9;71.1129254781587;73.17479658853675;42.29838111136218
0637palmer_sem6_num19;5.8;70.50372944407623;52.16778072521093;37.06551031999932
0639palmer_sem6_num20;5.6;63.95283702573246;52.808835886808225;38.67255412346878
0641palmer_sem6_num21;5.8;73.21636586253813;42.915528257139506;34.51474353971052
0643palmer_sem6_num22;5.7;90.13677412042507;53.51208675557312;36.177187885532646
0645palmer_sem6_num23;5.4;72.0519749689589;45.03264824993261;38.07585474524671
0647palmer_sem6_num24;5.5;64.69283747013488;62.96445354365746;39.97117897193159
0649palmer_sem6_num25;5.7;69.19917840783978;43.495681730368034;36.12938096104545
0651palmer_sem6_num26;5.7;35.855549102056024;56.175107481370546;39.39329901279695
0653palmer_sem6_num27;5.8;41.81120034282617;63.180691123927964;43.6511627073032
0655palmer_sem6_num28;5.8;44.125378212032224;60.51227792497899;43.432943077168595
0657palmer_sem6_num29;5.8;34.97456450340186;82.48687826582079;52.6260080262561
0659palmer_sem6_num30;5.8;47.43186105149422;73.20834395022777;43.742572931594374
0661palmer_sem6_num31;6.1;70.03979101087678;60.45477954325557;37.96803986192856
0663palmer_sem6_num32;5.5;51.19619404206874;70.64944822084557;41.128275290974
0665palmer_sem6_num33;6.4;65.7080955811323;53.78134683760515;39.04006876071023
0667palmer_sem6_num34;5.5;50.02383248718175;62.93933600915985;45.0647303897143
0669palmer_sem6_num35;5.7;43.591966852526944;61.0465172568073;35.9393239374552
0671palmer_sem6_num36;5.4;49.26066708349735;60.59906587650583;43.57380618501022
0673palmer_sem6_num37;5.9;29.42275197689691;69.83133736708379;53.45042258722873
0675palmer_sem6_num38;5.7;54.34550232522274;68.49111667810119;45.55667506366371
0677palmer_sem6_num39;6.1;76.47645638775745;55.72869831945604;35.4779250456194
0679palmer_sem6_num40;6.0;74.82722353521635;53.22882327369783;38.48646134125742
