ind;time;dominant_HSV
0283palmer_sem3_num22;65;1.0
0285palmer_sem3_num23;65;1.0
0287palmer_sem3_num24;65;1.0
0289palmer_sem3_num25;65;1.0
0291palmer_sem3_num26;65;1.0
0293palmer_sem3_num27;65;1.0
0295palmer_sem3_num28;65;1.0
0297palmer_sem3_num29;65;1.0
0299palmer_sem3_num30;65;1.0
0301palmer_sem3_num31;65;1.0
0303palmer_sem3_num32;65;1.0
0305palmer_sem3_num33;65;1.0
0307palmer_sem3_num34;65;1.0
0309palmer_sem3_num35;65;1.0
0311palmer_sem3_num36;65;1.0
0313palmer_sem3_num37;65;1.0
0315palmer_sem3_num38;65;1.0
0317palmer_sem3_num39;65;1.0
0319palmer_sem3_num40;65;1.0
0321palmer_sem3_num41;65;1.0
0323palmer_sem3_num42;65;1.0
0325palmer_sem3_num43;65;1.0
0327palmer_sem3_num44;65;1.0
0329palmer_sem3_num45;65;1.0
0331palmer_sem3_num46;65;1.0
0333palmer_sem3_num47;65;1.0
0335palmer_sem3_num48;65;1.0
0337palmer_sem3_num49;65;1.0
0339palmer_sem3_num50;65;1.0
0341palmer_sem3_num51;65;1.0
0343palmer_sem3_num52;65;1.0
0345palmer_sem3_num53;65;1.0
0347palmer_sem3_num54;65;1.0
0349palmer_sem3_num55;65;1.0
0351palmer_sem3_num56;65;1.0
0353palmer_sem3_num57;65;1.0
0355palmer_sem3_num58;65;1.0
0357palmer_sem3_num59;65;1.0
0359palmer_sem3_num60;65;1.0
0361palmer_sem4_num1;80;1.0
0363palmer_sem4_num2;80;1.0
0365palmer_sem4_num3;80;1.0
0367palmer_sem4_num4;80;1.0
0369palmer_sem4_num5;80;1.0
0371palmer_sem4_num6;80;1.0
0373palmer_sem4_num7;80;1.0
0375palmer_sem4_num8;80;1.0
0377palmer_sem4_num9;80;1.0
0379palmer_sem4_num10;80;1.0
0381palmer_sem4_num11;80;1.0
0383palmer_sem4_num12;80;1.0
0385palmer_sem4_num13;80;1.0
0387palmer_sem4_num14;80;1.0
0389palmer_sem4_num15;80;1.0
0391palmer_sem4_num16;80;0.5
0393palmer_sem4_num17;80;1.0
0395palmer_sem4_num18;80;1.0
0397palmer_sem4_num19;80;1.0
0399palmer_sem4_num20;80;1.0
0401palmer_sem4_num21;80;1.0
0403palmer_sem4_num22;80;1.0
