;area;height;width;diameter
0150palmer_sem2_num15lado2;2513572.0;2433.0;1385.0;1788.960387750118
0151palmer_sem2_num16lado1;2252144.0;2518.0;1374.0;1693.3749736068585
0152palmer_sem2_num16lado2;2251312.0;2319.0;1352.0;1693.0621565485446
0153palmer_sem2_num17lado1;2458530.0;2463.0;1421.0;1769.2647110926448
0154palmer_sem2_num17lado2;2458235.0;2351.0;1373.0;1769.1585605174123
0155palmer_sem2_num18lado1;2702712.0;2533.0;1503.0;1855.047114342453
0156palmer_sem2_num18lado2;2665269.0;2299.0;1487.0;1842.15251490118
0157palmer_sem2_num19lado1;2594469.0;2534.0;1448.0;1817.520434105073
0158palmer_sem2_num19lado2;2560194.0;2300.0;1482.0;1805.4750740438637
0159palmer_sem2_num20lado1;2423499.0;2521.0;1433.0;1756.6145745228582
0160palmer_sem2_num20lado2;2432827.0;2377.0;1375.0;1759.9919152937641
0161palmer_sem2_num21lado1;2409669.0;2457.0;1426.0;1751.595233072537
0162palmer_sem2_num21lado2;2461505.0;2270.0;1435.0;1770.3348569023112
0163palmer_sem2_num22lado1;2845070.0;2710.0;1525.0;1903.274975283306
0164palmer_sem2_num22lado2;2814847.0;2562.0;1442.0;1893.1387991320496
0165palmer_sem2_num23lado1;2642538.0;2504.0;1554.0;1834.2802076196995
0166palmer_sem2_num23lado2;2667221.0;2320.0;1487.0;1842.8269728186815
0167palmer_sem2_num24lado1;2669387.0;2534.0;1488.0;1843.5750835271022
0168palmer_sem2_num24lado2;2666624.0;2364.0;1437.0;1842.620722704447
0169palmer_sem2_num25lado1;2610228.0;2639.0;1407.0;1823.0319553905176
0170palmer_sem2_num25lado2;2596073.0;2513.0;1399.0;1818.0821776309365
0171palmer_sem2_num26lado1;2561213.0;2458.0;1467.0;1805.8343429256684
0172palmer_sem2_num26lado2;2528688.0;2331.0;1421.0;1794.3315072464368
0173palmer_sem2_num27lado1;2328571.0;2462.0;1401.0;1721.8677881659505
0174palmer_sem2_num27lado2;2404426.0;2412.0;1359.0;1749.6886196090402
0175palmer_sem2_num28lado1;2363150.0;2545.0;1358.0;1734.605439326448
0176palmer_sem2_num28lado2;2361467.0;2361.0;1389.0;1733.9876493179272
0177palmer_sem2_num29lado1;2408693.0;2504.0;1399.0;1751.240468561292
0178palmer_sem2_num29lado2;2420568.0;2382.0;1351.0;1755.552020966768
0179palmer_sem2_num30lado1;2554010.0;2601.0;1467.0;1803.2932456062306
0180palmer_sem2_num30lado2;2503954.0;2476.0;1404.0;1785.5344440804802
0181palmer_sem2_num31lado1;2688249.0;2678.0;1466.0;1850.077007287739
0182palmer_sem2_num31lado2;2666330.0;2598.0;1396.0;1842.5191438120003
0183palmer_sem2_num32lado1;2610701.0;2463.0;1519.0;1823.1971239225982
0184palmer_sem2_num32lado2;2617986.0;2270.0;1556.0;1825.7391113636772
0185palmer_sem2_num33lado1;2585104.0;2494.0;1450.0;1814.2372061152996
0186palmer_sem2_num33lado2;2675750.0;2300.0;1628.0;1845.7710345070193
0187palmer_sem2_num34lado1;2556014.0;2563.0;1415.0;1804.0005825100784
0188palmer_sem2_num34lado2;2547296.0;2426.0;1394.0;1800.9214306420204
0189palmer_sem2_num35lado1;3018581.0;2694.0;1599.0;1960.4531869407676
0190palmer_sem2_num35lado2;3011559.0;2468.0;1630.0;1958.171598737731
0191palmer_sem2_num36lado1;2664212.0;2568.0;1466.0;1841.7871956222189
0192palmer_sem2_num36lado2;2673712.0;2463.0;1416.0;1845.0679796779689
0193palmer_sem2_num37lado1;2547289.0;2498.0;1472.0;1800.9189561634605
0194palmer_sem2_num37lado2;2601939.0;2336.0;1470.0;1820.1350575681643
0195palmer_sem2_num38lado1;2271307.0;2515.0;1338.0;1700.5639919255577
0196palmer_sem2_num38lado2;2279048.0;2427.0;1262.0;1703.4594324343575
0197palmer_sem2_num39lado1;2648769.0;2729.0;1396.0;1836.4415143610242
0198palmer_sem2_num39lado2;2684343.0;2633.0;1363.0;1848.732446632833
0199palmer_sem2_num40lado1;2524398.0;2601.0;1446.0;1792.8087907666995
0200palmer_sem2_num40lado2;2506612.0;2465.0;1329.0;1786.4818839573202
0201palmer_sem2_num41lado1;2957335.0;2746.0;1567.0;1940.4627976411614
0202palmer_sem2_num41lado2;2934600.0;2572.0;1501.0;1932.9895933449327
0203palmer_sem2_num42lado1;2546667.0;2586.0;1470.0;1800.6990674935284
0204palmer_sem2_num42lado2;2596002.0;2363.0;1457.0;1818.05731609638
0205palmer_sem2_num43lado1;2978314.0;2809.0;1552.0;1947.3333462554276
0206palmer_sem2_num43lado2;2948395.0;2663.0;1494.0;1937.5275759326446
0207palmer_sem2_num44lado1;2582682.0;2545.0;1474.0;1813.387121900809
0208palmer_sem2_num44lado2;2565780.0;2415.0;1402.0;1807.4436530886892
0209palmer_sem2_num45lado1;2595320.0;2622.0;1429.0;1817.8184879800465
0210palmer_sem2_num45lado2;2580490.0;2502.0;1369.0;1812.617420415472
0211palmer_sem2_num46lado1;2991197.0;2732.0;1606.0;1951.540495734891
0212palmer_sem2_num46lado2;3006511.0;2599.0;1534.0;1956.5297587517698
0213palmer_sem2_num47lado1;3039725.0;2769.0;1581.0;1967.3073158813017
0214palmer_sem2_num47lado2;3004887.0;2664.0;1487.0;1956.0012668351237
0215palmer_sem2_num48lado1;2460935.0;2515.0;1391.0;1770.1298706656605
0216palmer_sem2_num48lado2;2463313.0;2443.0;1359.0;1770.9849018724603
0217palmer_sem2_num49lado1;2888627.0;2645.0;1542.0;1917.7888638715417
0218palmer_sem2_num49lado2;2922201.0;2496.0;1553.0;1928.9017265958983
0219palmer_sem2_num50lado1;2511978.0;2560.0;1418.0;1788.393056658615
0220palmer_sem2_num50lado2;2488359.0;2390.0;1367.0;1779.965471658831
0221palmer_sem2_num51lado1;2613272.0;2640.0;1414.0;1824.0946388685945
0222palmer_sem2_num51lado2;2646444.0;2489.0;1401.0;1835.6353542376282
0223palmer_sem2_num52lado1;2403683.0;2394.0;1399.0;1749.4182600532242
0224palmer_sem2_num52lado2;2421049.0;2242.0;1400.0;1755.7264384127502
0225palmer_sem2_num53lado1;2456785.0;2473.0;1423.0;1768.6367108346974
0226palmer_sem2_num53lado2;2468765.0;2360.0;1386.0;1772.943660880995
0227palmer_sem2_num54lado1;2591605.0;2603.0;1467.0;1816.5169887268798
0228palmer_sem2_num54lado2;2590725.0;2384.0;1516.0;1816.208556177953
0229palmer_sem2_num55lado1;2699523.0;2730.0;1463.0;1853.952382215385
0230palmer_sem2_num55lado2;2705287.0;2548.0;1410.0;1855.9305989874606
0231palmer_sem2_num56lado1;2750870.0;2561.0;1518.0;1871.5011264825937
0232palmer_sem2_num56lado2;2741077.0;2402.0;1485.0;1868.1669174792776
0233palmer_sem2_num57lado1;2967131.0;2766.0;1643.0;1943.673975647559
0234palmer_sem2_num57lado2;3034700.0;2600.0;1628.0;1965.6805555348506
0235palmer_sem2_num58lado1;2587091.0;2575.0;1452.0;1814.9343147972152
0236palmer_sem2_num58lado2;2618310.0;2438.0;1422.0;1825.8520839256187
0237palmer_sem2_num59lado1;2766830.0;2575.0;1588.0;1876.9223131391427
0238palmer_sem2_num59lado2;2739703.0;2366.0;1518.0;1867.6986374759606
0239palmer_sem2_num60lado1;2864743.0;2706.0;1586.0;1909.8439918232182
0240palmer_sem2_num60lado2;2884110.0;2487.0;1540.0;1916.28883610121
0241palmer_sem3_num1lado1;3653231.0;2948.0;1656.0;2156.7193084062615
0242palmer_sem3_num1lado2;3600675.0;2900.0;1605.0;2141.1496439388075
0243palmer_sem3_num2lado1;3331241.0;2959.0;1630.0;2059.48240445096
0244palmer_sem3_num2lado2;3316543.0;2958.0;1595.0;2054.9339890649994
0245palmer_sem3_num3lado1;3357294.0;2947.0;1649.0;2067.5201290681775
0246palmer_sem3_num3lado2;3374907.0;2884.0;1609.0;2072.9363357815682
0247palmer_sem3_num4lado1;3725144.0;2910.0;1727.0;2177.8431189213156
0248palmer_sem3_num4lado2;3713539.0;2863.0;1711.0;2174.4481381988103
0249palmer_sem3_num5lado1;3595127.0;2938.0;1732.0;2139.4994425671375
0250palmer_sem3_num5lado2;3653138.0;2882.0;1689.0;2156.69185651885
0251palmer_sem3_num6lado1;3671287.0;3114.0;1665.0;2162.042503854196
0252palmer_sem3_num6lado2;3653243.0;3034.0;1642.0;2156.7228505598305
0253palmer_sem3_num7lado1;3991794.0;3147.0;1816.0;2254.4422758714745
0254palmer_sem3_num7lado2;4002049.0;3115.0;1804.0;2257.336272416632
0255palmer_sem3_num8lado1;3803384.0;3045.0;1731.0;2200.59512691749
0256palmer_sem3_num8lado2;3805896.0;2960.0;1697.0;2201.321714413724
0257palmer_sem3_num9lado1;3514033.0;2939.0;1673.0;2115.2318494917613
0258palmer_sem3_num9lado2;3571376.0;2877.0;1647.0;2132.420491441143
0259palmer_sem3_num10lado1;3582552.0;2981.0;1668.0;2135.754404764285
0260palmer_sem3_num10lado2;3593606.0;2904.0;1633.0;2139.0468128111524
0261palmer_sem3_num11lado1;3704012.0;2968.0;1774.0;2171.657098294659
0262palmer_sem3_num11lado2;3738330.0;2894.0;1733.0;2181.6942011358515
0263palmer_sem3_num12lado1;3822783.0;3082.0;1785.0;2206.200010547847
0264palmer_sem3_num12lado2;3839914.0;2929.0;1725.0;2211.137796063868
0265palmer_sem3_num13lado1;3914051.0;3115.0;1790.0;2232.3809068593578
0266palmer_sem3_num13lado2;3905898.0;3004.0;1743.0;2230.0546610569845
0267palmer_sem3_num14lado1;3555000.0;2942.0;1750.0;2127.5259296970985
0268palmer_sem3_num14lado2;3534833.0;2824.0;1671.0;2121.482773824673
0269palmer_sem3_num15lado1;3855295.0;3143.0;1813.0;2215.5617911987356
0270palmer_sem3_num15lado2;3883718.0;2981.0;1783.0;2223.71386158376
0271palmer_sem3_num16lado1;3761938.0;3151.0;1724.0;2188.5721889948954
0272palmer_sem3_num16lado2;3769634.0;3118.0;1639.0;2190.8096854766254
0273palmer_sem3_num17lado1;3693086.0;2988.0;1697.0;2168.4517834869657
0274palmer_sem3_num17lado2;3716986.0;2941.0;1659.0;2175.457092757054
0275palmer_sem3_num18lado1;3836127.0;3203.0;1703.0;2210.047192940971
0276palmer_sem3_num18lado2;3768337.0;3114.0;1641.0;2190.432762330008
0277palmer_sem3_num19lado1;3913598.0;3056.0;1783.0;2232.2517187352423
0278palmer_sem3_num19lado2;3880547.0;2971.0;1701.0;2222.805860979182
0279palmer_sem3_num20lado1;3589195.0;2855.0;1681.0;2137.733614781253
0280palmer_sem3_num20lado2;3579283.0;2783.0;1655.0;2134.7797678913644
0281palmer_sem3_num21lado1;3883878.0;3283.0;1705.0;2223.7596669889745
0282palmer_sem3_num21lado2;3862796.0;3218.0;1678.0;2217.716082018798
0283palmer_sem3_num22lado1;3954431.0;3128.0;1754.0;2243.8667353759256
0284palmer_sem3_num22lado2;3898466.0;3014.0;1706.0;2227.9320175906423
0285palmer_sem3_num23lado1;4226711.0;3133.0;1849.0;2319.830939824518
0286palmer_sem3_num23lado2;4290565.0;3049.0;1835.0;2337.2883919740466
0287palmer_sem3_num24lado1;4036032.0;3200.0;1871.0;2266.899985931569
0288palmer_sem3_num24lado2;4036768.0;3103.0;1839.0;2267.1066694184183
0289palmer_sem3_num25lado1;3310453.0;2869.0;1608.0;2053.0464365394064
0290palmer_sem3_num25lado2;3343851.0;2775.0;1578.0;2063.3766803233525
0291palmer_sem3_num26lado1;3939146.0;3060.0;1813.0;2239.5259453030094
0292palmer_sem3_num26lado2;3941022.0;2979.0;1770.0;2240.0591637435073
0293palmer_sem3_num27lado1;3478289.0;2943.0;1655.0;2104.4465074734794
0294palmer_sem3_num27lado2;3600457.0;2861.0;1671.0;2141.0848258578008
0295palmer_sem3_num28lado1;3764796.0;3006.0;1724.0;2189.4033765071163
0296palmer_sem3_num28lado2;3802674.0;2912.0;1675.0;2200.3897183308777
0297palmer_sem3_num29lado1;3802095.0;3067.0;1739.0;2200.2221948793804
0298palmer_sem3_num29lado2;3831781.0;3032.0;1713.0;2208.794942036233
0299palmer_sem3_num30lado1;3544735.0;2935.0;1679.0;2124.452112335507
0300palmer_sem3_num30lado2;3583013.0;2886.0;1647.0;2135.8918139503626
