ind;time;area;height;width;diameter
0419palmer_sem4_num30;80;4826296.0;3300.5;1959.5;2478.916651739181
0421palmer_sem4_num31;80;4044945.0;3048.0;1774.5;2269.377167364535
0423palmer_sem4_num32;80;4632931.0;3168.0;1901.0;2428.7482301783084
0425palmer_sem4_num33;80;4442376.5;3104.5;1853.5;2378.245116369967
0427palmer_sem4_num34;80;4433326.0;3044.5;1861.5;2375.8283111398
0429palmer_sem4_num35;80;4582957.0;3198.0;1907.0;2415.6156886299204
0431palmer_sem4_num36;80;4748948.5;3199.0;1929.0;2458.9726393028986
0433palmer_sem4_num37;80;4300515.5;3111.5;1837.0;2339.995976305795
0435palmer_sem4_num38;80;5128501.0;3444.5;2015.5;2555.3487781461795
0437palmer_sem4_num39;80;4519344.5;3294.0;1856.0;2398.791292760732
0439palmer_sem4_num40;80;4645145.0;3260.0;1943.0;2431.9173318030835
0441palmer_sem4_num41;80;4680201.0;3209.0;1943.0;2441.1093222243358
0443palmer_sem4_num42;80;4407495.5;3223.0;1852.0;2368.920576419011
0445palmer_sem4_num43;80;4612072.0;3212.0;1914.0;2423.261193824913
0447palmer_sem4_num44;80;4626807.5;3386.0;1828.5;2427.141341949226
0449palmer_sem4_num45;80;4689390.0;3276.0;1922.5;2443.486582257342
0451palmer_sem4_num46;80;4986674.0;3390.5;1979.0;2519.632517210048
0453palmer_sem4_num47;80;4697736.0;3341.5;1880.0;2445.626818726369
0455palmer_sem4_num48;80;4407986.0;3148.0;1846.0;2369.0542220432644
0457palmer_sem4_num49;80;4407088.5;3143.5;1852.5;2368.8045104955954
0459palmer_sem4_num50;80;4541457.0;3280.5;1844.5;2404.653569954785
0461palmer_sem4_num51;80;4664142.5;3147.0;1918.0;2436.916020852205
0463palmer_sem4_num52;80;4931797.0;3432.5;1915.5;2505.8149993821203
0465palmer_sem4_num53;80;5056824.5;3437.0;1937.0;2537.4293020091945
0467palmer_sem4_num54;80;4196158.5;3135.0;1785.0;2311.427207952288
0469palmer_sem4_num55;80;4480531.5;3211.5;1853.0;2388.469700994632
0471palmer_sem4_num56;80;4310485.5;3156.0;1813.5;2342.7077681860264
0473palmer_sem4_num57;80;4294483.5;3133.0;1887.0;2338.337569338911
0475palmer_sem4_num58;80;5121114.0;3395.5;1988.5;2553.508031901328
0477palmer_sem4_num59;80;5158852.5;3455.5;1990.5;2562.879673870381
0479palmer_sem4_num60;80;4421074.5;3189.5;1915.5;2372.564503501449
0481palmer_sem5_num1;95;5484263.0;3498.5;2073.0;2642.495066641289
0483palmer_sem5_num2;95;5060902.0;3361.5;2038.5;2538.4489090113143
0485palmer_sem5_num3;95;5085296.5;3423.5;1983.5;2544.5527720797672
0487palmer_sem5_num4;95;4923521.5;3241.5;2008.5;2503.761532937293
0489palmer_sem5_num5;95;5054438.5;3417.0;2054.5;2536.8305914845605
0491palmer_sem5_num6;95;5001738.0;3372.5;1962.0;2523.5670963260445
0493palmer_sem5_num7;95;4978454.0;3448.5;1947.0;2517.6833919308883
0495palmer_sem5_num8;95;5464587.5;3520.5;2079.5;2637.7483511438118
0497palmer_sem5_num9;95;5135604.0;3327.0;2022.5;2557.113798876
0499palmer_sem5_num10;95;4763745.0;3237.5;1949.0;2462.795154846166
0501palmer_sem5_num11;95;5195256.0;3421.0;2007.0;2571.923578771651
0503palmer_sem5_num12;95;4961899.0;3339.5;1980.5;2513.500749898494
0505palmer_sem5_num13;95;5010177.5;3496.0;1947.5;2525.68579705342
0507palmer_sem5_num14;95;5015946.5;3341.5;2014.5;2527.1444913217674
0509palmer_sem5_num15;95;5177393.5;3542.5;2009.0;2567.479198843907
0511palmer_sem5_num16;95;5057806.5;3338.5;2034.0;2537.650017663512
0513palmer_sem5_num17;95;5717703.0;3592.5;2111.0;2698.1408561267754
0515palmer_sem5_num18;95;5221148.5;3622.5;2015.5;2578.324442983697
0517palmer_sem5_num19;95;4634499.5;3154.0;2020.0;2429.1470849083703
0519palmer_sem5_num20;95;5249949.0;3494.0;2053.5;2585.428553978533
0521palmer_sem5_num21;95;4695475.5;3288.5;1914.0;2445.087735428599
0523palmer_sem5_num22;95;4806107.5;3174.0;2025.5;2473.704545468743
0525palmer_sem5_num23;95;5128868.5;3316.0;2013.0;2555.440498414524
0527palmer_sem5_num24;95;5282830.0;3418.0;2021.5;2593.5114917514998
0529palmer_sem5_num25;95;5112528.5;3433.0;1978.5;2551.366207009985
0531palmer_sem5_num26;95;5088588.0;3309.5;1958.0;2545.3862206177328
0533palmer_sem5_num27;95;4940125.0;3352.0;2029.5;2507.976377111254
0535palmer_sem5_num28;95;5250275.0;3379.0;2103.0;2585.504786524513
0537palmer_sem5_num29;95;5192419.5;3417.0;2065.5;2571.2044781159802
0539palmer_sem5_num30;95;4795793.5;3486.0;1934.5;2471.070546519525
0541palmer_sem5_num31;95;4738131.0;3284.5;1924.0;2456.1701906811522
