;RG_diff_full;RB_diff_full;GB_diff_full;apex_R;apex_G;apex_B;equator_R;equator_G;equator_B;stalk_R;stalk_G;stalk_B;apex_equator_R_diff;equator_stalk_R_diff;apex_stalk_R_diff;apex_equator_G_diff;equator_stalk_G_diff;apex_stalk_G_diff;apex_equator_B_diff;equator_stalk_B_diff;apex_stalk_B_diff
0014palmer_sem1_num7lado2;-8.220273599380313;12.857071576619415;21.077345175999728;33.691329328806475;37.692253429131284;29.29155789913334;44.49508097288773;52.88586264209543;31.20878921158809;47.85965652011741;60.636167275680066;29.903660449994337;-10.803751644081252;-3.364575547229684;-14.168327191310937;-15.193609212964148;-7.7503046335846335;-22.94391384654878;-1.9172313124547493;1.3051287615937532;-0.6121025508609961
0015palmer_sem1_num8lado1;-10.58809335159782;17.06026878098713;27.64836213258495;32.009931569066794;35.0239818319455;25.926791607375336;45.58264983504399;55.26780476626948;29.143187781431536;54.9691573926868;74.22213007559567;29.658183490311735;-13.572718265977194;-9.386507557642815;-22.95922582362001;-20.24382293432398;-18.954325309326194;-39.198148243650174;-3.2163961740562;-0.5149957088801997;-3.7313918829364
0016palmer_sem1_num8lado2;-14.62581372273462;18.645493207327906;33.27130693006252;35.87280613779962;40.705945783283596;30.055960157168958;47.77201828206616;63.84786473640289;27.49245647969052;54.543230771687234;75.7092376940204;29.04586498495055;-11.899212144266542;-6.771212489621071;-18.670424633887613;-23.141918953119294;-11.861372957617512;-35.003291910736806;2.5635036774784368;-1.5534085052600304;1.0100951722184064
0017palmer_sem1_num9lado1;2.3182629820897773;20.70059656065758;18.382333578567803;44.01072210906575;41.59846212995002;26.177225402435745;52.12463265099311;47.11226958890226;29.446020678047606;49.648748357268396;54.6789519650655;29.998975022076447;-8.113910541927353;2.475884293724711;-5.638026248202642;-5.513807458952236;-7.566682376163243;-13.080489835115479;-3.2687952756118612;-0.5529543440288407;-3.821749619640702
0018palmer_sem1_num9lado2;-13.90040524045763;20.18913561942398;34.08954085988161;42.313645293227275;50.4150365763269;28.248578130522798;47.74335363527539;60.005551243768004;28.771033938437252;59.26199238876795;80.1684220454617;30.146628941238998;-5.429708342048116;-11.51863875349256;-16.948347095540676;-9.590514667441106;-20.162870801693693;-29.7533854691348;-0.5224558079144543;-1.3755950028017452;-1.8980508107161995
0019palmer_sem1_num10lado1;-16.191817239539304;21.46449002147914;37.65630726101844;34.50931620219016;45.00295309388091;24.455862163646348;47.4577336103532;66.05768604971338;28.1984381257509;67.03071149335419;86.27488739268955;33.06173186100193;-12.948417408163039;-19.572977883000988;-32.521395291164026;-21.05473295583247;-20.217201342976168;-41.27193429880864;-3.742575962104553;-4.86329373525103;-8.605869697355583
0020palmer_sem1_num10lado2;-4.809177670947108;14.384328443692983;19.19350611464009;37.786157508188715;34.85783196287552;27.89386313824174;46.98809925945174;50.70430037677017;31.54312069637521;48.55847685154869;62.88537984776497;30.950452658757396;-9.201941751263021;-1.5703775920969534;-10.772319343359975;-15.846468413894648;-12.181079470994803;-28.02754788488945;-3.6492575581334705;0.5926680376178162;-3.0565895205156544
0021palmer_sem1_num11lado1;-9.67697006509593;18.73636102240462;28.41333108750055;34.88482375290227;37.86010836675815;28.381121587390936;47.179735933575046;54.45008847586403;29.5712199769839;58.47495412993002;76.24179586247371;30.454518969312442;-12.294912180672775;-11.295218196354973;-23.590130377027748;-16.58998010910588;-21.79170738660968;-38.38168749571556;-1.1900983895929649;-0.883298992328541;-2.073397381921506
0022palmer_sem1_num11lado2;-10.257242173926961;15.850549365551316;26.107791539478278;35.68126203693214;39.2758317746415;30.42016735455419;46.97288352867309;57.41516344657083;30.230772249254436;52.21587167718183;70.39678358293901;29.874011546111678;-11.291621491740948;-5.2429881485087435;-16.53460964024969;-18.139331671929327;-12.981620136368178;-31.120951808297505;0.18939510529975578;0.35676070314275776;0.5461558084425135
0023palmer_sem1_num12lado1;-14.188384525011642;17.611643318041217;31.80002784305286;36.52170893719807;46.13561523821033;28.72125551326204;46.957286697344536;60.20767801726868;30.44263956176182;53.524400796648585;73.34422432689524;29.74287282206064;-10.435577760146465;-6.5671140993040495;-17.002691859450515;-14.07206277905835;-13.136546309626567;-27.208609088684916;-1.7213840484997789;0.6997667397011789;-1.0216173087986
0024palmer_sem1_num12lado2;-3.6894893347826354;14.737038192529994;18.42652752731263;39.99121457867263;41.614916818118274;32.109318329768435;48.64794401257381;53.11541402897566;32.22578555575614;44.87824838670727;51.79284705882353;28.416797393507903;-8.656729433901177;3.7696956258665395;-4.887033808034637;-11.500497210857382;1.322566970152124;-10.177930240705258;-0.11646722598770509;3.8089881622482373;3.6925209362605322
0025palmer_sem1_num13lado1;-6.149927466917802;14.002953922449954;20.152881389367757;36.051462886669924;44.94149716921787;29.08657237646237;43.21062877165661;47.926096267094955;30.654134880948035;51.300141938715875;61.77261388558705;30.184194761540255;-7.159165884986685;-8.089513167059266;-15.24867905204595;-2.984599097877087;-13.846517618492094;-16.83111671636918;-1.5675625044856645;0.4699401194077808;-1.0976223850778837
0026palmer_sem1_num13lado2;-15.27009222560796;20.644094872637126;35.91418709824509;35.79589579391646;45.972755057487994;28.583583175665844;54.01611948154484;71.19157839331535;31.818366004473095;57.92981454570618;77.68159661387409;29.936099699658232;-18.220223687628383;-3.913695064161338;-22.13391875178972;-25.21882333582736;-6.4900182205587384;-31.708841556386098;-3.2347828288072513;1.8822663048148627;-1.3525165239923886
0027palmer_sem1_num14lado1;-16.738656469640425;24.690759671198748;41.42941614083917;39.19429251776612;52.51944516946941;29.980383381815468;60.17470661509211;78.2377559990029;33.84447474336956;66.93676653320448;87.63986787950057;33.39917172168474;-20.98041409732599;-6.762059918112364;-27.742474015438354;-25.718310829533493;-9.40211188049767;-35.120422710031164;-3.8640913615540917;0.44530302168482194;-3.4187883398692698
0028palmer_sem1_num14lado2;-5.2296970256101645;19.361138924979436;24.5908359505896;43.05940320501013;46.56379876607631;31.923585194249007;51.23009325681492;54.51941197601481;32.843842683919384;59.78350642927794;72.47172049865421;31.198442894384556;-8.17069005180479;-8.553413172463024;-16.724103224267814;-7.955613209938498;-17.9523085226394;-25.907921732577897;-0.9202574896703766;1.645399789534828;0.7251422998644514
0029palmer_sem1_num15lado1;-8.082607571560182;13.525027230982879;21.60763480254306;34.208840486867395;39.50836836890448;28.025263214295283;42.89940153198101;50.689658521189166;30.400830258302584;48.92568919331321;62.57094468085106;28.523351508788565;-8.690561045113618;-6.026287661332198;-14.716848706445816;-11.181290152284689;-11.881286159661897;-23.062576311946586;-2.375567044007301;1.8774787495140188;-0.4980882944932823
0030palmer_sem1_num15lado2;-18.732424941551088;25.44085019932014;44.173275140871226;36.30806427614938;50.51677669131881;26.146668974726744;55.7149970125473;77.43368929982181;29.471906475267986;68.08643449308019;87.63505349488676;33.473656860279945;-19.40693273639792;-12.37143748053289;-31.77837021693081;-26.916912608502997;-10.201364195064954;-37.11827680356795;-3.325237500541242;-4.00175038501196;-7.326987885553201
0031palmer_sem1_num16lado1;-1.422144081722422;20.39472355078281;21.816867632505232;42.690616606329556;40.256646216768914;30.119992993109893;52.25917364220362;52.529543408985866;31.510242312183728;54.75881645738712;62.9927980437477;30.580503888232062;-9.568557035874065;-2.499642815183499;-12.068199851057564;-12.272897192216952;-10.463254634761832;-22.736151826978784;-1.3902493190738348;0.9297384239516653;-0.4605108951221695
0032palmer_sem1_num16lado2;-18.545896992293322;30.193111907893986;48.73900890018731;46.94475152129817;63.67110502422075;27.873957227362354;68.0903598182488;87.87174698351068;32.3248880436783;62.958220179653225;82.77778315195485;32.08692170960975;-21.145608296950627;5.132139638595575;-16.013468658355052;-24.200641959289925;5.0939638315558255;-19.1066781277341;-4.450930816315946;0.2379663340685525;-4.2129644822473935
0033palmer_sem1_num17lado1;-16.812600520756526;19.03958847021238;35.852188990968905;39.61048708003828;54.41982109465811;25.9676808005256;50.39720238401069;69.15494007168274;29.1938732258686;50.82340421789527;68.08067873143543;29.060671513363538;-10.786715303972407;-0.42620183388458344;-11.21291713785699;-14.735118977024634;1.0742613402473182;-13.660857636777315;-3.226192425343001;0.13320171250506263;-3.0929907128379384
0034palmer_sem1_num17lado2;-3.249216873839842;12.016743428207164;15.265960302047006;35.696754419311915;38.22163086865615;30.185133472169632;41.85137127690947;45.30171096033683;28.806060768519387;46.13523232171097;52.024697885196375;29.759975963795466;-6.154616857597553;-4.283861044801505;-10.438477902399057;-7.080080091680678;-6.722986924859548;-13.803067016540226;1.3790727036502446;-0.9539151952760783;0.4251575083741663
0035palmer_sem1_num18lado1;-2.944517239398273;11.978992812193667;14.92351005159194;37.83335406430748;41.289406568798206;30.3144421288376;46.60746395861092;48.26764267870868;35.046671390653714;45.569813407948466;52.88668268209377;28.96242567984665;-8.774109894303443;1.0376505506624554;-7.736459343640988;-6.978236109910476;-4.619040003385088;-11.597276113295564;-4.732229261816112;6.084245710807064;1.3520164489909519
0036palmer_sem1_num18lado2;-11.855644550832508;16.097666692751154;27.953311243583663;30.60104768013684;33.88627710997989;27.21855436617311;46.360561435803035;59.99491230761364;28.945825024287977;52.65218308003163;70.77926173905382;28.139373127529478;-15.759513755666195;-6.2916216442285915;-22.051135399894786;-26.108635197633745;-10.784349431440184;-36.89298462907393;-1.7272706581148682;0.8064518967584995;-0.9208187613563688
0037palmer_sem1_num19lado1;-5.393113716999935;14.365027641536834;19.75814135853677;33.086445734988544;33.42661870503597;26.27332285813204;43.358553432522136;46.933718650280014;32.01944159836066;52.70622692684397;67.58073231559855;29.962779249572552;-10.272107697533592;-9.347673494321832;-19.619781191855424;-13.507099945244043;-20.64701366531854;-34.15411361056258;-5.746118740228617;2.0566623487881053;-3.689456391440512
0038palmer_sem1_num19lado2;-10.264183185518945;19.637011256265446;29.90119444178439;36.146933968051435;41.570026258313085;25.823666462293072;50.697214222198625;61.58608423260197;31.28423343907198;60.964223889209464;78.5044925559935;30.336844843282613;-14.55028025414719;-10.26700966701084;-24.81728992115803;-20.016057974288884;-16.918408323391525;-36.93446629768041;-5.460566976778907;0.9473885957893664;-4.51317838098954
0039palmer_sem1_num20lado1;-16.357685283404066;23.99304624590124;40.35073152930531;32.98481138126057;43.77858476257146;24.91174240214665;54.68134828029923;71.7845992734889;32.0189428225569;65.07730196874486;86.1329649430193;31.926616026213882;-21.696536899038662;-10.39595368844563;-32.09249058748429;-28.00601451091743;-14.34836566953041;-42.35438018044784;-7.107200420410251;0.09232679634301988;-7.014873624067231
