;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
tommy5_IMG_0419_20170719;136.21756658218308;136.75660078330404;132.77412236636232;69.32236944337276;28.597973844914552;138.23385479180956;143.07227656500058;126.93201844573403;130.55300904715722
tommy5_IMG_0424_20170719;136.8805261515132;138.36948880726308;131.80354577698117;67.7532413100673;33.25099073984768;139.77019747370827;144.630423616916;126.18213672053612;131.8385604767697
tommy5_IMG_0429_20170719;133.79789180607352;130.62158504533178;129.67581362347107;69.95779174748871;29.08925271088749;134.48753827883874;137.4821231460048;129.29847810079804;129.33764319121155
tommy5_IMG_0434_20170719;133.86093997824503;134.00079543851095;128.75664063616327;64.53245317679756;33.16654387074188;135.7087502813143;140.33216688368054;126.96901278327904;131.35027872442274
tommy5_IMG_0439_20170719;133.19363907062686;131.8454754501922;127.99702794790595;67.50928638599537;34.57090303676554;134.3820185127136;138.31776035415237;127.89222966365526;130.79442421660664
tommy5_IMG_0444_20170719;136.02325905519476;138.53039104250615;130.3902049263046;71.53955491165839;37.28422383821659;139.6255098821695;144.6687286335091;125.38868968040909;132.66694066902792
tommy5_IMG_0449_20170719;134.474925183792;139.02431978871957;127.75423668267032;70.27731461387603;43.31589675854481;140.07388558232952;144.905642104356;124.10645803862312;134.03746313889604
tommy5_IMG_0454_20170719;136.5234801436757;137.34767266000085;132.6272831111397;70.65920558627687;29.83754378232882;138.66300372004673;143.70702717540794;126.70290061835563;130.91829131256787
tommy5_IMG_0459_20170719;138.25314698047055;139.41750246038382;133.81913097993828;69.63859791836349;31.253931702246227;140.57309516728824;145.83260431625442;126.38803009884403;131.398169302537
tommy5_IMG_0464_20170719;135.54439954578905;137.2803752464849;130.87785321912867;71.875253629401;32.66118070291066;138.4476543857346;143.72251336019661;126.00897476342807;131.78238189934484
tommy5_IMG_0469_20170719;134.60025907707475;134.93038174350565;129.9472792441844;70.37140330736311;32.4626929235611;136.70759532982538;141.4541665885238;126.92350857651391;131.15175801343878
