ind;time;RG_diff_full;RB_diff_full;GB_diff_full;apex_R;apex_G;apex_B;equator_R;equator_G;equator_B;stalk_R;stalk_G;stalk_B;apex_equator_R_diff;equator_stalk_R_diff;apex_stalk_R_diff;apex_equator_G_diff;equator_stalk_G_diff;apex_stalk_G_diff;apex_equator_B_diff;equator_stalk_B_diff;apex_stalk_B_diff
0071palmer_sem1_num36;35;-15.16781266;18.77485277;33.94266542;30.70015631;39.4085804;25.7894081;46.3480589;61.78120509;28.87932743;57.36575723;78.866249;28.99620342;-15.64790259;-11.01769833;-26.66560092;-22.37262469;-17.0850439;-39.4576686;-3.089919331;-0.116875983;-3.206795314
0073palmer_sem1_num37;35;-6.885959577;19.98159731;26.86755688;37.14870056;41.5247039;27.12640794;47.68137814;53.95189187;28.2812903;57.28342787;69.80977461;29.94175183;-10.53267759;-9.602049728;-20.13472731;-12.42718797;-15.85788274;-28.28507071;-1.154882357;-1.660461531;-2.815343888
0075palmer_sem1_num38;35;-12.14817793;21.41541395;33.56359188;32.77215045;42.18534964;25.32638196;49.91282277;63.14885988;28.43716966;60.08691425;74.30892335;30.44447672;-17.14067232;-10.17409148;-27.3147638;-20.96351024;-11.16006346;-32.1235737;-3.110787703;-2.007307061;-5.118094763
0077palmer_sem1_num39;35;-5.086769226;21.46379858;26.55056781;43.90165748;43.00551123;31.27577358;52.22715341;55.35220657;31.16308773;56.56768295;71.46395677;29.94083921;-8.325495924;-4.34052954;-12.66602546;-12.34669534;-16.1117502;-28.45844554;0.11268585;1.222248529;1.334934379
0079palmer_sem1_num40;35;-9.914584364;17.82303469;27.73761905;36.53757894;43.66174341;27.96213009;46.22415951;54.72680717;30.10787994;57.51924975;73.46394805;30.85932783;-9.686580566;-11.29509024;-20.98167081;-11.06506376;-18.73714088;-29.80220464;-2.145749851;-0.751447898;-2.897197749
0081palmer_sem1_num41;35;-8.803714826;16.13929608;24.94301091;41.75382162;44.53628792;29.77687317;48.93790492;57.17437122;34.23221953;50.8533102;67.65069849;28.91891405;-7.184083298;-1.915405287;-9.099488585;-12.6380833;-10.47632727;-23.11441057;-4.455346367;5.313305482;0.857959115
0083palmer_sem1_num42;35;-10.2380723;23.20663638;33.44470868;39.61585857;46.15552981;27.6556077;56.76690338;65.94462834;32.29205841;59.45359599;75.49044615;29.80938201;-17.15104481;-2.686692613;-19.83773742;-19.78909853;-9.545817814;-29.33491635;-4.636450704;2.482676399;-2.153774305
0085palmer_sem1_num43;35;-11.83196056;17.55165717;29.38361773;35.47615971;44.24399412;26.99713002;50.53521798;62.81302804;30.03292475;48.53419303;63.37638571;28.11257603;-15.05905827;2.001024954;-13.05803332;-18.56903392;-0.563357672;-19.13239159;-3.035794728;1.92034872;-1.115446008
0087palmer_sem1_num44;35;-11.16870439;19.41827095;30.58697534;36.67073567;42.9893519;28.93427583;48.71118671;57.30422772;29.56712147;54.19962716;73.93171201;27.46902419;-12.04045104;-5.488440441;-17.52889148;-14.31487582;-16.62748429;-30.94236011;-0.632845647;2.098097279;1.465251631
0089palmer_sem1_num45;35;-12.9082395;26.86583123;39.77407073;42.34166346;49.46003494;27.57973139;59.06711233;73.11437536;29.71916198;63.61519701;81.38174149;31.33757372;-16.72544887;-4.548084682;-21.27353355;-23.65434042;-8.26736613;-31.92170655;-2.139430585;-1.618411746;-3.75784233
0091palmer_sem1_num46;35;-9.72387125;18.61184985;28.3357211;38.73172304;42.98420294;30.68228438;47.69546717;56.51139985;29.63866097;55.01184546;74.07853703;29.40035341;-8.963744132;-7.31637829;-16.28012242;-13.52719691;-17.56713718;-31.09433409;1.043623411;0.238307556;1.281930967
0093palmer_sem1_num47;35;-11.0274169;13.11262278;24.14003968;30.65453695;35.3881339;25.60477361;42.42691958;53.16131429;29.04208691;47.55765824;65.71577457;28.09949833;-11.77238263;-5.13073866;-16.90312129;-17.77318038;-12.55446028;-30.32764066;-3.437313291;0.942588571;-2.49472472
