ind;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
palmer_sem3_num41_;141.36385283201116;143.3970318923625;138.58907359488853;72.57721368678912;26.289247056693313;144.54185825087416;149.48794535324254;126.09536178023727;130.82469173757573
palmer_sem3_num42_;144.84295917433445;145.6057847404947;140.85160743350778;70.22617066936729;26.266797003377558;147.1922418871623;152.07387590656572;126.74561342257695;130.92693994118298
palmer_sem3_num43_;145.69103017338745;147.71315011436585;142.26160896385892;69.5192250137085;26.54158964013203;148.8166095598457;153.995848832513;126.04108193479938;131.15559019516962
palmer_sem3_num44_;146.64768681544814;148.5713496981354;143.41640670803656;73.17844318656765;25.649219403051056;149.74222040595168;154.88278116262407;126.1367105170914;130.995311512051
palmer_sem3_num45_;149.9468528339362;151.4186487697915;146.25955467662948;71.04099084254973;24.907770604263114;152.6446204055228;157.918953994393;126.36083495982118;131.0379706767797
palmer_sem3_num46_;142.99128408178873;144.31495693432797;140.4889682681957;71.31850145546662;22.966215268847165;145.5021118574032;150.3949440695712;126.60491519155272;130.32222797688578
palmer_sem3_num47_;146.48093956843326;147.48263179300676;141.58611925298575;69.06568373552346;29.50500331995527;148.80718409193184;153.89925102904658;126.46031495256952;131.5600362672182
palmer_sem3_num48_;143.91323080005006;145.31975966034628;142.37095685299846;65.49984812376758;19.90659734501815;146.30271703657377;151.45582287381012;126.69401156090143;129.78292797840402
palmer_sem3_num49_;147.6322312738398;148.67440185980675;144.8331877691694;70.71680530326574;22.40878735452032;149.83391870739803;155.11590105637544;126.71568666029916;130.36669277196395
palmer_sem3_num4_;142.5192778865801;142.35397056341424;140.55015749416106;66.57064301639483;17.488969325801257;143.81429958496216;148.6809699233803;127.63567780336399;129.31500760441673
palmer_sem3_num50_;146.0118337729876;148.6210602796378;142.21274487934687;72.54148121691208;29.66514209944416;149.7619649069348;154.79595231108914;125.63517671226637;131.63021344052748
palmer_sem3_num51_;146.6127670879792;148.24334913971927;142.58757313529838;67.61309136284723;27.628550476716107;149.5958203789021;154.6171333834219;126.24768125013395;131.29535978201267
palmer_sem3_num52_;146.8564965914346;148.47314708720904;143.45832566567935;68.47998948308722;25.86954869818458;149.55174261734726;154.75228168453242;126.30898306889787;130.94205411013587
palmer_sem3_num53_;143.66448799876935;144.06239761874258;142.5299739178858;67.68596466022592;15.287605051913651;145.1549758921972;150.1767424112711;127.40090647951675;129.0628798022137
palmer_sem3_num54_;144.90669099859053;146.073729393078;143.191417505995;65.58192645484147;19.70918430909208;147.07007405425404;152.2078377492256;126.81469084674711;129.77414433008795
palmer_sem3_num55_;149.52253107106554;149.82413644904352;146.29978880375103;68.02249322724658;21.899088709115656;151.32479082485293;156.4245961820811;127.15910218652655;130.25906605103486
palmer_sem3_num56_;147.80589502734236;150.34404705100857;144.58363649947628;74.94853700935214;27.12672617580447;151.55434874815262;156.58199829920278;125.7708438826196;131.26081692556517
palmer_sem3_num57_;142.68134360737912;145.09808165100316;139.31372660278487;70.62465753891067;28.530680924613126;146.2027694113118;151.25000935529786;125.7858620195777;131.32104910809971
palmer_sem3_num58_;143.9804903363081;146.05794631385803;141.17018103632833;72.89088105741135;25.94370010578311;147.21352056405604;152.18947387202007;126.06937124132837;130.85513223334976
palmer_sem3_num59_;144.82814047574826;146.1923510891708;141.97184689524062;65.50178349917479;23.747660584759174;147.31668821983277;152.48535141760289;126.51510437318709;130.53790076682708
palmer_sem3_num5_;144.92162372568504;145.93716737072458;142.3890409943293;65.9426647686882;22.45816088878351;147.011714051494;152.18010339910705;126.77882651079176;130.20155854262225
palmer_sem3_num60_;145.19422774439312;146.80181461513394;141.8296547760158;70.67201822470136;25.00292301744863;147.91997829918938;153.06709927053154;126.31184443721065;130.92122351180268
palmer_sem3_num6_;143.07174062331512;144.3831650265401;141.24244908291206;67.0647915673136;21.180333797278664;145.38561843327818;150.48979622022634;126.68733877453238;129.92536011579432
palmer_sem3_num7_;148.03414334020437;149.3376174695792;143.4100936652082;68.02614584784558;27.33453050987547;150.78380579607006;155.8476871996181;126.35821625300068;131.47832933800046
palmer_sem3_num8_;141.17099707970607;142.55171083824104;139.46845689084788;67.03936689435264;21.43462903127858;143.58872057726313;148.51594558820838;126.66639249685642;129.89118734951916
palmer_sem3_num9_;145.43021536589296;147.68204105339885;141.22391191504266;72.50316358582855;29.50600192990541;148.85065349052115;153.89441880793743;125.80152692825325;131.6873784878508
palmer_sem4_num10_;128.68318319298876;130.8076950512796;123.62270285105346;68.2136657742752;39.86964785589385;131.9373181224905;136.26392170889062;125.64395678833732;132.28943144593765
palmer_sem4_num11_;134.3980910759513;136.263587843516;130.99125533939008;69.21147378329331;33.035388473838665;137.3352750997103;141.90668603716563;126.03342066914401;131.19752966414646
palmer_sem4_num12_;134.32132601291008;135.11245910337541;130.92264052095837;63.63348974743334;29.77496337890625;136.40502647815038;140.839398335691;126.75891169097581;130.68110791395176
palmer_sem4_num13_;132.53009908869078;134.61707941869236;127.29864094493922;64.15328858091671;37.710222102105476;135.67859210134256;140.28641641526994;125.7098493048411;132.2552781316533
palmer_sem4_num14_;133.60509796212347;135.01177758041126;129.67600842246082;66.05821285936784;34.016550853364706;136.50943463416638;140.60863292189998;126.31927079984354;131.2655241398927
