ind;time;bcd;cd;dd
0261palmer_sem3_num11;65;1.02576189;-0.023289752;-1.045575141
0263palmer_sem3_num12;65;1.039826316;-0.023280267;-1.027239855
0265palmer_sem3_num13;65;1.0395881;-0.023239188;-1.001284795
0267palmer_sem3_num14;65;1.03628936;-0.023395848;-1.079414981
0269palmer_sem3_num15;65;1.035089989;-0.02319948;-1.040894447
0271palmer_sem3_num16;65;1.062189919;-0.02331575;-1.021357884
0273palmer_sem3_num17;65;1.042523874;-0.02340732;-0.99344831
0275palmer_sem3_num18;65;1.04803889;-0.023304051;-0.980918981
0277palmer_sem3_num19;65;1.038388555;-0.023291994;-0.98641343
0279palmer_sem3_num20;65;1.044132256;-0.02346411;-1.028867046
0281palmer_sem3_num21;65;1.100306365;-0.023244365;-1.066641292
0283palmer_sem3_num22;65;1.081281323;-0.023260208;-1.02829076
0285palmer_sem3_num23;65;1.035983084;-0.023095329;-1.006194057
0287palmer_sem3_num24;65;1.050266711;-0.023097018;-1.012694905
0289palmer_sem3_num25;65;1.035878588;-0.023593793;-1.061266942
0291palmer_sem3_num26;65;1.0344203;-0.023226968;-1.014180918
0293palmer_sem3_num27;65;1.047615431;-0.023449633;-1.04302346
0295palmer_sem3_num28;65;1.055373974;-0.023348591;-0.999757456
0297palmer_sem3_num29;65;1.020369118;-0.023276395;-1.020676019
0299palmer_sem3_num30;65;1.040214909;-0.023392347;-0.995308133
0301palmer_sem3_num31;65;1.028209406;-0.023236818;-0.999260928
0303palmer_sem3_num32;65;1.036325232;-0.023444539;-0.98020997
0305palmer_sem3_num33;65;1.038110905;-0.023509723;-0.997480151
0307palmer_sem3_num34;65;1.028649944;-0.023230286;-0.996809213
0309palmer_sem3_num35;65;1.038142191;-0.023252954;-1.019807399
0311palmer_sem3_num36;65;1.038202618;-0.023373941;-1.00271707
0313palmer_sem3_num37;65;1.041653298;-0.023542741;-1.014339096
0315palmer_sem3_num38;65;1.037577483;-0.023603845;-1.017174447
0317palmer_sem3_num39;65;1.03146283;-0.023616215;-1.137858985
