;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
tommy7_IMG_0079_20170816;109.78603664096435;107.37107304214176;106.35534500519762;67.1488454057356;35.74739527517004;110.6773447770205;112.6335140554448;128.92643072880944;129.01706550783035
tommy7_IMG_0084_20170816;110.23748095546841;107.59304442577948;106.67552393672123;65.10992546064101;36.878026975362225;111.09308556241426;112.8973621984132;129.0751714789273;128.96779515005215
tommy7_IMG_0089_20170816;119.50093045821188;117.47043235998585;115.08118016260859;71.80777425465106;33.170331845939785;120.35637777474139;123.5265739870006;128.52073984098152;129.97860783357623
tommy7_IMG_0094_20170816;120.96843687039178;121.75228936256859;115.30007405710592;70.0293228295932;39.065247335551696;123.31815698498943;127.57426089132872;126.52394258196516;131.8990531541138
tommy7_IMG_0099_20170816;116.728151869981;110.62364628656192;108.83397443969335;74.3669128278428;44.54357742707262;117.44213565779322;117.92755860937858;130.60831231290368;130.45248205170108
tommy7_IMG_0104_20170816;115.70111332367041;109.89417564416507;110.32528400464749;78.79584072341535;40.83779021142333;116.42044582288452;116.58764709835462;130.8951560021755;128.90431507112342
tommy7_IMG_0109_20170816;118.70344996267004;114.56200340211693;114.4907322008423;77.57540652149062;35.08955467722979;119.46389743995056;120.97670622704833;129.97566927127986;128.90438048786152
tommy7_IMG_0114_20170816;121.09245282850365;123.66153686690886;114.62568263370913;72.68878623149577;42.34566204418153;125.14559086719822;129.36967037778277;125.42465939759444;132.955829691876
tommy7_IMG_0119_20170816;116.8011575078768;119.05785502087977;110.66733891853852;75.07260509991569;43.50465519350852;120.42158827151563;124.67899632639246;125.56998435579918;132.76195803460433
tommy7_IMG_0124_20170816;117.33745497854866;114.76075446709248;110.74381488090135;69.34602512940458;40.33519810108382;118.32560528343978;121.03500320162466;128.52513906080318;131.1473133033086
tommy7_IMG_0129_20170816;115.4944222741984;113.2153280682906;110.63548431605795;65.69573374583835;37.056169367730476;116.59758614469021;119.03703312989396;128.6401342628315;130.14223569181885
tommy7_IMG_0134_20170816;113.84488792750842;114.09711471997171;108.70757523594679;69.41732262017031;40.342914541180846;115.67502973894031;119.62428873251386;126.89808769906335;131.40291664880544
tommy7_IMG_0139_20170816;117.32505097147205;116.74915103362913;110.4636127766704;72.553040862465;44.57262971491697;119.42375333111856;122.56971515364228;127.27472836425112;131.9289575340435
tommy7_IMG_0144_20170816;115.55119641185844;110.81389328721563;110.61778054850036;73.83953731835133;39.203626844618064;116.30954117637604;117.07202801488556;130.25502531158907;129.0429573634688
tommy7_IMG_0149_20170816;119.2463255552162;113.11684400630857;113.98926344994928;87.62464299875684;38.345098801601075;119.97727934911907;120.05942139453305;131.0977275274527;128.82375234875116
tommy7_IMG_0154_20170816;116.39388724119085;113.44191669033279;109.95289978111069;74.12088683886672;41.281048893765;117.41888369127228;119.80291125694801;128.8592284821352;130.82083851308872
tommy7_IMG_0159_20170816;121.62056249017631;118.17119370588276;113.09391839786592;72.49950116946373;42.86160335532049;122.48600997192214;124.94582963829231;128.88846853611182;131.81489826022732
tommy7_IMG_0164_20170816;118.81138869688073;111.52283462782565;112.11227454668209;85.32286760411309;43.31612956845493;119.43239269422294;119.01038993064486;131.59660762861867;129.2740859741155
tommy7_IMG_0169_20170816;121.16627958042194;118.85511029753228;116.24858756778336;74.49152830914923;35.32863287278163;122.1542561290795;125.1486920782786;128.63489048612897;130.1408770665438
tommy7_IMG_0174_20170816;122.83423711133972;117.8620916365705;115.80769795372869;69.27250397189;37.703856807895384;123.56330096432757;125.00655551626085;130.0848047075939;130.37086361927368
tommy7_IMG_0179_20170816;113.48012637263516;109.57311191218707;109.28144853868385;71.36663542068544;35.197005297639464;114.22808422058971;115.79568806575432;129.84140214191817;128.9753910826939
tommy7_IMG_0184_20170816;113.88701094848464;109.70469461100036;109.916087293167;74.32574828487583;34.57303711830561;114.62381920555056;116.02791240676441;130.04692065775748;128.6881662237083
tommy7_IMG_0189_20170816;117.926063680627;115.17203597429413;111.41036277041894;68.67031867328603;41.10999947309385;118.80746826953305;121.38280334612196;128.64593603537952;130.91280903268958
tommy7_IMG_0194_20170816;113.96376856004585;108.69090557752486;109.43066166239784;83.56428589927698;40.28460009609339;114.69606546228424;115.11257589904478;130.58208304755374;128.57813002346964
tommy7_IMG_0199_20170816;118.98509837962965;116.1100581360561;113.07199229243471;74.63321934522534;39.537893482796065;120.03892904315629;122.46819485078731;128.8548826227245;130.5355939058392
tommy7_IMG_0204_20170816;120.93493027200859;116.48256309031349;115.08972123315687;73.74216255010073;38.384423638349475;121.76961129061641;123.14491800134674;129.91302247433342;129.84784630460177
tommy7_IMG_0209_20170816;116.9697474378072;112.929927063686;112.37594184474308;67.40662123440715;35.04498137520719;117.6620824715292;119.15892030901706;129.8385830823831;129.17232560522766
tommy7_IMG_0214_20170816;117.26010426267077;117.06697769758087;112.70056593292752;72.93825089708005;36.96303033327261;118.97060237652536;122.71397820617926;127.26966141368028;130.84285029658562
