;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
tommy2_IMG_8597_20170608;164.94940143684627;165.00315730649152;164.61187752513075;70.20249114976279;7.785976415144893;166.17667866494483;172.12570116473054;127.78371004890404;128.36340075276135
tommy2_IMG_8602_20170608;165.51916213661337;165.1044618792331;164.2264753148934;65.00976696459189;8.911566393747142;166.2546123265675;172.29980892954103;127.9365467687257;128.706662583144
tommy2_IMG_8607_20170608;163.93741136366884;164.59558496183055;161.5449673653085;76.67405060888917;14.948161811985596;165.95588947116482;171.71265714529392;127.12610226087392;129.80089718051627
tommy2_IMG_8612_20170608;163.64226293018763;164.3142809316237;161.2063478906786;76.72105047001814;15.068128853559385;165.68346336305441;171.4336198720422;127.11505860937858;129.82587738804585
tommy2_IMG_8617_20170608;167.86594207024106;167.71575255147604;166.65216625407237;65.81787087048468;7.921127172818072;168.86719553755145;175.02264808965262;127.80725862339963;128.74007546591005
tommy2_IMG_8622_20170608;167.5903424689036;166.85819705218339;166.4994040490505;65.60482691802771;7.254933549543468;168.17818202196216;174.2103774389503;128.18222546849995;128.43478766128686
tommy2_IMG_8627_20170608;166.95873063396633;166.6249658404064;166.04156346227353;77.55666233755215;8.539756185342362;168.06907488452714;173.95121200694092;127.92523670588993;128.55417225946292
tommy2_IMG_8632_20170608;167.25243046624942;167.20936582379542;165.86354336348307;64.77161197112912;8.964721400605852;168.3249788567744;174.45069129640348;127.70902372551224;128.89581736986312
tommy2_IMG_8637_20170608;167.6064441403571;167.71503838154078;166.62517995184615;76.81293570226768;9.343203502318387;169.09667499892834;175.00879654188816;127.65952055782392;128.76869746567073
tommy2_IMG_8642_20170608;167.3719663824946;167.49383078855524;166.3250332776956;77.00018028674411;9.608088545238912;168.88465834601482;174.78431520954788;127.64179089148949;128.8123405885631
tommy2_IMG_8647_20170608;166.09939783111142;165.3336115219193;165.14821401141688;77.38869548530734;8.135003904910407;166.89200059343918;172.72692675736596;128.18630608871314;128.3925406164266
tommy2_IMG_8652_20170608;166.57019428101424;166.78658849701358;164.9948608789152;64.50193353346836;9.937343100297925;167.88882938868167;174.0023199499171;127.53290752171922;129.1064180183149
tommy2_IMG_8657_20170608;167.3828809308199;167.29027209567542;167.09436587737912;70.4752390390125;6.982571295313928;168.52332084387146;174.53216655994584;127.90047954041279;128.26061844269762
tommy2_IMG_8662_20170608;167.85172291613085;167.3942777322316;166.73215484967992;65.51948084785451;7.137686772601595;168.59171382030178;174.7270398412494;128.0074718529414;128.5574088251422
tommy2_IMG_8667_20170608;167.33993127000457;167.5757555409987;165.9869288203375;75.97420861375456;10.392586609082077;168.93388366001508;174.8325503976802;127.53598523412495;129.02607219819888
tommy2_IMG_8672_20170608;166.9765970503079;166.49433787990827;166.04329047532292;74.78091035763532;8.144237711923441;167.84666316586652;173.7931838661337;128.01212726971522;128.49421815388158
tommy2_IMG_8677_20170608;167.2604872185071;167.76602671012301;166.5125148583069;69.81953548087778;9.28978180503758;168.9284233717707;174.9413285536694;127.47401850333648;128.77469543261674
tommy2_IMG_8682_20170608;167.65399848090274;166.7587104172918;166.75515385659585;77.07371595650434;7.402237643157723;168.33886992250015;174.15123992626891;128.28264401282794;128.29506928592608
tommy2_IMG_8687_20170608;167.36555314205748;167.14706179492813;166.43978406001733;74.07037216765617;8.437264120191758;168.47256370652582;174.44178323348908;127.85573164491173;128.59830857544225
tommy2_IMG_8692_20170608;167.16038928317542;167.3006978604038;165.8302967017461;74.70321452939244;9.936035714413297;168.6287645881559;174.59653423014547;127.60104536170769;128.96342194064
tommy3_IMG_0484_20170622;161.97929230922423;163.0392156041917;159.78032450944144;71.7074603659408;16.330148509391428;164.24277926472482;169.92442496901074;126.91110261586576;129.89583768700706
tommy3_IMG_0489_20170622;161.9072911978095;163.1837336257216;159.62268038498084;71.04616507210577;16.897569165362793;164.36654326792552;170.0465770524334;126.77705155151536;130.03262090486754
tommy3_IMG_0494_20170622;158.62817165128814;159.50793529592482;154.92698844557327;70.13457350519404;20.73349924179098;160.6520503235561;166.32757297650178;126.78501285784964;130.68971557338105
tommy3_IMG_0499_20170622;158.53527418990413;160.40875710206976;154.62109871765333;71.59133075283279;22.515185837119912;161.58850326503202;167.102543639439;126.20402241494484;131.17679504199174
tommy3_IMG_0504_20170622;157.69417111187911;157.92857468983982;154.4910014588156;65.3826652565229;18.75656550738383;159.1022904007523;164.78927510439885;127.24575991253359;130.15214426243855
