;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
tommy2_IMG_8297_20170608;167.2007061435471;167.2841996697459;165.7577130911173;77.23210137763631;10.331997425304356;168.67515789323275;174.60028374789238;127.61421968994699;129.0121903421675
tommy2_IMG_8302_20170608;167.5090784701682;167.6032754473344;165.93124343599962;77.92020034266761;10.398479194798096;169.0116871021412;174.93290179496384;127.6000728179834;129.07464836828774
tommy2_IMG_8307_20170608;167.1605016414466;167.17720104997213;166.00584748612184;67.2875538404314;8.79203762199217;168.33975304846462;174.44182866798127;127.70109300652649;128.80412939252187
tommy2_IMG_8312_20170608;167.1119292110518;167.22009623404992;165.84791574011558;67.34301908516589;9.263910657257373;168.37758597054332;174.47965539444732;127.63393703158935;128.90366162935456
tommy2_IMG_8317_20170608;167.01089490097738;167.23661005328003;165.93315849426295;67.7890151119363;8.870808751821844;168.3778844204568;174.50895154383502;127.59634266850279;128.83575788305185
tommy2_IMG_8322_20170608;166.98937257087334;166.68426527625957;165.7741565259559;67.25375722040037;8.114371063832447;167.86729544878114;174.00398841163695;127.89339655983869;128.69126229968634
tommy2_IMG_8327_20170608;166.67511910088376;166.81456615306712;165.31440958826303;76.51133841753115;10.391457165655721;168.17994191082963;174.1213864508316;127.59118060690659;128.99483732442414
tommy2_IMG_8332_20170608;166.314720987565;166.98262839541894;165.28302819662355;69.55696558767004;10.633245578900176;168.1203637282272;174.1408272783779;127.33626659307842;129.00691458270822
tommy3_IMG_0164_20170622;159.26704373946188;158.76940761683028;157.19457594771663;75.12608735791395;13.52449287515718;160.25733487966892;165.9465321984311;127.8409105116884;129.19647046557068
tommy3_IMG_0169_20170622;157.67626473104568;157.3941758674304;156.24409346020158;69.55622697018245;11.562905170735451;158.64761136250792;164.43782552083334;127.81587766936012;128.89714842187144
tommy3_IMG_0174_20170622;160.53374956686528;161.20177357503144;158.385842656893;68.61440271169124;15.192257281575074;162.35462463964978;168.1804079213642;127.15321286606579;129.6952960341828
tommy3_IMG_0179_20170622;160.37441119354068;160.3848266880644;158.9324669299411;74.05822290630715;12.706690268043413;161.66566124712438;167.4228637304598;127.6142636732146;129.05244658600537
tommy3_IMG_0184_20170622;160.3768411016268;159.80219251007372;159.2251818272748;70.69112493569959;9.775381247856654;161.13059636845566;166.86316643581034;128.05328344023278;128.5940487289952
tommy3_IMG_0189_20170622;160.7272257654428;160.30632057416696;159.37582770034936;72.3415986153978;11.02761814307556;161.6699942687793;167.37281233478367;127.92036343798223;128.7896311009481
tommy3_IMG_0194_20170622;159.30561488831376;159.04256547701974;157.601141309978;73.39458634071717;13.085778814175384;160.4595255701303;166.14458890826833;127.76443231667238;129.08059637961892
tommy3_IMG_0199_20170622;160.198663377522;159.91997869602338;158.83558764324704;74.11730895633288;11.642921953589392;161.25994775368298;166.9532260275563;127.81225971070174;128.87765239197532
tommy3_IMG_0204_20170622;160.3221160930534;160.36839798873672;157.97527515217763;76.15252353439715;15.270120056459337;161.8254740034329;167.45235121822492;127.47442306009228;129.5872010142497
tommy3_IMG_0209_20170622;160.49721096965018;161.01163340683232;157.89823706356097;71.10147297060756;15.687298949581333;162.24331973424282;168.0097618294896;127.17583048000256;129.88885294317274
tommy3_IMG_0214_20170622;160.55061089856252;160.2729266689529;159.23740113811732;73.355502295614;11.462950348472507;161.58891619423724;167.36303454182385;127.82199765080229;128.84726587059185
tommy3_IMG_0219_20170622;161.42778488877815;161.92864524168024;159.54389435219122;73.68883864302911;14.305973284965134;163.19619004433156;168.9620088386274;127.2799927371792;129.49615051520703
tommy3_IMG_0224_20170622;162.96454959794383;163.62623387577875;161.19635509321768;74.5185924193387;13.735169545449677;164.92286551658236;170.68735208672697;127.21900748072771;129.47850864795882
tommy3_IMG_0229_20170622;162.30452836764474;162.03287414355424;161.23563097904517;74.12153157328818;10.274600823938329;163.337435721915;169.118446995474;127.85843086678742;128.69625680066162
tommy3_IMG_0234_20170622;161.23700004197391;161.02948514347926;159.47784594067932;71.73101865247772;12.842681731270721;162.31256742612595;168.0715896892504;127.7221554658922;129.1301921465978
